Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.012034803,0.034780442,0.019730657,0.008028224,-0.024622843,-0.012809754,0.040837943,-0.148367577,0.115932435,0.102477818,-0.078034312,-10.04220171,-11.49065697,-9.574143785,-7.015551425,-6.154848353,-6.517516914,-6.731732599,-7.381729242,-9.825775721,-4.699137662,-5.841114191,-8.274640923,-6.228566574,-9.849931849,-4.377720922,-17.96305858,-18.18493734,-19.16911988,-17.97238757,-19.05518292,-18.66846691,-16.85240873,-17.81080292,-20.35457738,-18.55853825,-16.57969649,-16.94871122,-19.25277022,-13.81837631,-12.93300326
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.005463749,0,0.010569244,0.022327661,0.033816397,0.004243329,0.006968081,0.03870523,-0.163081102,0.045909017,0.04874444,-0.092087865,-5.569355581,-9.853170182,-6.734525291,-5.997288595,-7.285821045,-7.092072759,-7.7253568,-9.086287463,-8.705906553,-8.858233046,-6.961938509,-5.61443958,-6.197810023,-6.40227057,-7.34178883,-19.50138895,-15.99600354,-13.17081436,-13.78337508,-13.28440381,-13.76869954,-15.0614283,-14.81876881,-16.01733524,-16.82163964,-14.45733161,-15.72360432,-13.66352585,-14.89243308,-18.97741104
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.020489097,0.081086845,0.137181491,0.138286233,-0.067214578,-0.008165121,0.034487188,0.16391325,-0.244976244,0.117788911,0.19514674,-6.804088388,-5.465380206,-9.546584469,-10.74040347,-9.736450421,-7.434430261,-7.504555779,-10.00745761,-3.165849737,-5.598112214,-6.327176133,-3.429917916,-6.712061766,-7.239373277,-5.492160986,-13.83074966,-18.54014578,-15.86090639,-14.40520519,-13.85065707,-14.90278477,-12.14140537,-13.19037392,-12.12617165,-13.45451652,-13.63201316,-13.46867183,-10.88808996,-16.25083537,-13.68226526
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.020489097,0.081086845,0.137181491,0.138286233,-0.067214578,-0.008165121,0.034487188,0.16391325,-0.244976244,0.117788911,0.19514674,-6.804088388,-5.465380206,-9.546584469,-10.74040347,-9.736450421,-7.434430261,-7.504555779,-10.00745761,-3.165849737,-5.598112214,-6.327176133,-3.429917916,-6.712061766,-4.959396595,-5.492160986,-13.83074966,-18.54014578,-15.86090639,-14.40520519,-13.85065707,-14.90278477,-12.14140537,-13.19037392,-12.12617165,-13.45451652,-13.63201316,-13.46867183,-10.88808996,-16.52181327,-13.68226526
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.03464517,0.076176614,0.076438308,0.062043339,0.014971197,0.074642867,-0.003168479,0.181547791,-0.131028145,0.241836041,0.184880644,5.578198595,5.08884532,4.758504325,-2.165125551,3.800963101,2.152990724,4.60408885,3.726603342,2.684574948,3.840178848,5.240687481,2.741066515,-0.70555786,3.716828122,0.162892114,-17.71327109,-18.10643885,-20.52187428,-13.79915957,-14.89080283,-16.40947945,-15.22303847,-20.05928171,-15.07307358,-17.0013665,-13.1593302,-15.69285987,-15.36857901,-14.06585012,-16.20602126
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.046075672,0.085873068,0.105194181,0.134816438,-0.011770516,0.061958671,0.086671353,0.264803708,-0.177514933,0.196754217,0.252792657,-12.07368678,-7.693376434,-6.053459566,-5.177385453,-8.613924627,-6.724671041,-5.668028612,-7.650866903,-2.497842477,-5.641567276,-5.987598824,-6.854479695,-4.662630026,-4.910175456,-7.384877996,-16.08220357,-17.47543996,-15.9605767,-12.3270107,-15.62284896,-13.60281277,-16.63646962,-15.1258325,-18.62972293,-17.34053805,-13.60337691,-17.24187124,-13.48303542,-14.68654221,-14.8857164
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.004797697,0.071295231,0.053379178,0.004315227,-0.188617766,-0.2230643,0.097096592,0.208151549,-0.216815982,-0.181254477,0.132317483,-10.15650228,-10.29356423,-5.677862175,-5.795536115,-9.863958266,-6.438912223,-8.916988623,-11.17874692,-7.56732226,-10.51252411,-11.37059532,-10.81033825,-6.456954349,-7.501909941,-7.38590871,-15.53021779,-17.55500145,-13.32218681,-17.40574134,-13.99480292,-15.91464442,-21.06137906,-20.12634008,-16.48541761,-17.70938644,-18.2829395,-14.1365375,-13.60245749,-15.06308755,-13.89154321
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0.103150726,0.008926452,0.139740825,0.026361496,-0.315719142,-0.358719084,0.083608807,0.096214593,-0.360322263,-0.103657484,0.00665775,-7.543346195,-6.92956641,-5.821247607,-9.145751338,-5.431831674,-8.041030536,-6.545018937,-6.091701738,-9.413711406,-8.26484624,-6.517155291,-4.156253611,-9.350472639,-7.845679484,-5.946152176,-16.13307787,-18.01866293,-16.19641688,-16.37323952,-14.38370622,-13.53526842,-17.94803979,-15.58588442,-16.21422195,-15.91514622,-17.00595333,-14.80331897,-15.88108305,-19.01426696,-16.44927049
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.020700395,0.03375277,0,0.048556686,-0.125958278,-0.052021041,-0.081467151,-0.088826395,0.157719016,-0.120006889,0.041206345,0.037485004,-10.64587495,-12.49796987,-11.52446234,-6.065535093,-11.75212795,-6.679807567,-15.28514734,-10.22309338,-13.14992549,-10.11228038,-11.30297117,-12.03543471,-7.175920774,-9.594384927,-9.130300716,-18.51123435,-16.42167942,-17.79238147,-13.10542739,-16.37157789,-12.65045569,-13.88685948,-15.98539563,-15.13826146,-12.7916595,-18.24551252,-18.3541734,-16.54734118,-14.50945926,-13.0420457
Banana,Long,Tall,Bangalore Rural,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.045753121,0,0.07386586,0.229071945,-0.016480446,-0.075620622,-0.278904185,-0.219887361,0.095155388,-0.351226651,-0.086587668,-0.066803545,-10.38202842,-7.458920366,-11.69525969,-5.306228994,-6.135670669,-6.569866408,-7.881925072,-10.19461519,-8.109350076,-7.416625261,-7.545846752,-6.899081042,-10.24324442,-5.762799626,-3.944401866,-21.69569811,-15.85469077,-15.46784011,-13.44501616,-12.5692989,-12.41958605,-14.17545661,-15.84399268,-13.87849932,-15.81584728,-17.30923926,-16.07159542,-9.635327676,-12.8141357,-14.61496275
