Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_height,Correct
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.253031194,0.250819743,0.40442422,0.146897212,0.084405832,0.312113434,0.118901849,0.107769988,0.480682403,0.089179069,0.39770934,0.223592281,-8.887128047,-9.376941248,-5.534494174,-7.169020941,-5.64965755,-5.59350288,-10.3569873,-10.45971157,-8.891454134,-6.695309774,-6.73632551,-7.666330061,-6.374488066,-7.239295823,-6.977586077,-15.90512002,-15.1263792,-11.5389639,-15.73283049,-17.94591303,-12.34688164,-16.11236667,-13.75503356,-14.0884977,-12.63461159,-12.88640602,-11.32522043,-13.07336434,-17.47181286,-13.00915265,3,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.26778841,0.24190338,0.487982601,0.493863523,0.068469517,0.078342006,0.094264656,0.31731385,0.412667453,0.095217459,0.393434435,0.34503901,-9.908198515,-9.038462824,-5.562254192,-7.51794039,-5.209136037,-4.937317021,-9.830461215,-9.109105502,-10.9281077,-7.983956085,-4.631348947,-7.681354418,-7.597103709,-8.917698255,-8.892793975,-17.58739093,-18.94590365,-13.89049772,-17.4358043,-14.76826523,-17.66733741,-18.43678295,-12.97338592,-13.27156442,-14.16000967,-15.52206308,-14.9268669,-20.07971008,-17.04416169,-17.28768945,3,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.40813002,0.446264327,0.453957617,0.401917964,0.067613132,0.057897314,0.09149605,0.410066098,0.460960984,0.091722466,0.402526647,0.166172951,-8.405715789,-9.288145354,-7.769682177,-10.3972843,-7.321025614,-8.371722216,-8.30816683,-12.39192242,-9.065925177,-8.062279382,-10.11201309,-9.394945665,-6.312882206,-10.15301905,-7.369701192,-17.74593191,-13.87741705,-15.83701327,-14.81604723,-11.59700915,-15.28200541,-20.8191458,-15.36765154,-17.02498532,-14.55604435,-20.33420083,-15.05143662,-16.11048926,-15.9827392,-13.68636925,3,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.467747152,0.435455501,0.54657805,0.601042867,0.172432691,0.360367775,0.116781279,0.324350804,0.135692507,0.091886677,0.619718611,0.195488214,-6.972784128,-12.07803628,-6.758041764,-7.245808532,-4.314318936,-9.602901905,-6.673134295,-7.347235755,-7.335344073,-6.592753145,-7.655958338,-6.486462608,-8.206252795,-10.15289369,-8.425231809,-17.36015423,-18.59916271,-15.46749169,-12.94177474,-15.51614858,-16.08152721,-12.80862435,-14.15952734,-12.96032926,-16.38279619,-14.4327914,-16.30768806,-12.19641344,-13.27207406,-10.32130596,3,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.297604203,0.254025519,0.228681713,0.312224805,0.105256855,0.166688353,0.099818163,0.097012892,0.449104488,0.079377994,0.341618657,0.51875191,-12.54970324,-12.17883097,-14.21073501,-10.03040989,-8.246096338,-8.954668734,-8.61954063,-9.244241254,-8.620818457,-12.21492865,-9.398608601,-9.330976145,-9.104113057,-9.734629758,-10.08193474,-17.24843109,-18.28799621,-16.7434228,-14.02106386,-15.88214197,-19.59832745,-20.1387885,-16.3618349,-14.67470001,-16.98235757,-21.39554459,-23.51432634,-14.6569481,-16.16444142,-10.84641528,1,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.189844519,0.188703716,0.176015124,0.183558807,0.136943012,0.151717871,0.109874569,0.169830099,0.255378306,0.064491555,0.36877501,0.438261807,-11.54993817,-12.81093362,-10.55524243,-7.465934726,-4.289212556,-3.138686128,-7.115506571,-7.557874747,-7.741834321,-6.34551472,-11.63898252,-7.747102546,-6.215779872,-8.008147638,-7.721170104,-20.83069974,-24.6277251,-19.52195198,-15.83251766,-11.12258049,-14.13092114,-15.55227287,-20.42852335,-20.63858929,-17.98521303,-20.6763729,-19.5894448,-12.69436268,-15.82051415,-12.01827834,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.281373262,0.257861674,0.256454736,0.23689431,0.203791469,0.07518927,0.043471076,0.233133912,0.409044981,0.057928689,0.5806095,0.433201075,-9.218578984,-10.58857333,-9.027579452,-3.17203253,-6.868569645,-9.670793235,-8.950339217,-8.688832946,-11.21386245,-6.835118953,-12.15997144,-7.587463523,-9.14730759,-10.27651229,-9.687123967,-19.06655354,-20.91190667,-17.93604263,-13.45694552,-15.23992334,-13.46764028,-14.22406356,-14.17431596,-20.9538817,-15.91285308,-25.01925353,-16.78912732,-13.30819492,-18.49524315,-13.37995025,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.168722659,0.183398053,0.166041777,0.182432815,0.153862461,0.08359351,0.041931354,0.186965793,0.220900699,0.056848794,0.569273293,0.44039017,-9.218578984,-9.7823421,-9.020173556,-3.17203253,-8.702399673,-9.670793235,-9.107974699,-8.938597796,-11.21386245,-7.780904744,-10.73096003,-6.493875797,-9.14730759,-10.44882977,-9.050113457,-19.06655354,-19.06090051,-21.02373954,-13.45694552,-14.96172145,-13.46764028,-14.98837296,-14.5641532,-20.9538817,-15.08282475,-21.20804624,-15.36241703,-13.30819492,-18.98460959,-13.14076418,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.255492628,0.225049317,0.239090174,0.201177537,0.138762787,0.104506396,0.042673547,0.179464161,0.336355925,0.057830267,0.312681496,0.371932417,-7.788735126,-7.600316528,-10.42266474,-14.2737627,-10.8302878,-10.18255295,-11.31778652,-15.18809326,-14.54831716,-9.692809432,-11.47053402,-10.31153398,-9.110939499,-10.54058146,-7.125412149,-18.91680436,-21.21843406,-20.44330645,-13.69210962,-18.41456834,-12.62304209,-18.24943155,-19.35564402,-19.55966719,-18.1833454,-20.41677805,-17.40038348,-16.08757916,-20.07415135,-13.94523801,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.321227849,0.25835216,0.322132319,0.304728866,0.145416752,0.120280743,0.043604657,0.152768672,0.106345098,0.059921525,0.506070495,0.403283715,-7.680026591,-9.607727142,-11.00795851,-14.2737627,-10.6988997,-10.18255295,-11.15610485,-13.82199271,-13.70107868,-10.06743143,-12.17276455,-10.92822269,-9.017986974,-10.86156541,-6.399400476,-18.015843,-22.10442016,-21.36020144,-13.69210962,-19.71269552,-12.62304209,-18.01317131,-19.35167731,-21.91192826,-15.63894068,-18.1839106,-15.29997749,-16.7526559,-18.86250485,-14.85798442,1,False
