Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_duration,Correct
Groundnut,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.266317159,0.398240834,0.428817958,0.272100478,0.272727966,0.194108441,0.17997773,0.385809004,0.070242032,0.622334599,0.573862612,0.2117116,-15.02150598,-9.828467901,-10.11034264,-6.201799301,-11.68471983,-6.799254195,-6.614640257,-13.65178127,-5.41006205,-6.505708925,-8.292784344,-11.53757966,-10.69238371,-18.9947681,-10.07380181,-19.97059914,-16.61399995,-13.51220337,-13.14867964,-18.63523333,-19.23938775,-24.57072653,-22.40159674,-16.31219297,-18.31036489,-20.02989793,-17.09691133,-10.93500788,-15.44217276,-18.30503157,1,False
Groundnut,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.310141206,0.305072963,0.221589833,0.178917229,0.187635243,0.126758337,0.154312313,0.14648065,0.09195005,0.03741945,0.398200601,0.122123659,-12.15889146,-5.541714877,-14.52755373,-6.35187764,-11.60433506,-10.0263719,-11.05945636,-10.6247386,-8.461103507,-7.029102218,-10.52681067,-11.3603101,-9.737403681,-12.76592152,-6.298059527,-18.13368551,-16.35602734,-18.99345809,-13.35110024,-17.55100997,-18.43393193,-17.05526628,-23.00053787,-18.26558237,-20.74267415,-15.28547542,-18.1131702,-15.16470362,-19.79529946,-13.6061419,1,False
Groundnut,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.292290598,0.324498832,0.355758011,0.340485185,0.373914152,0.133162126,0.170865253,0.154013664,0.096395481,0.038777299,0.33702454,0.113105118,-13.9240654,-13.37504412,-8.435292491,-9.946219688,-10.87357634,-12.33090817,-9.148251077,-9.058938229,-12.04253756,-8.095363836,-11.90621046,-11.24934534,-8.493124084,-10.5481295,-7.522835826,-14.73712744,-12.97925927,-15.43063902,-15.22690961,-17.06711323,-19.96829738,-17.82621184,-20.70972848,-19.69181467,-17.33603525,-19.55430651,-18.20431821,-15.58206391,-17.50185679,-15.10707615,1,False
Turmeric,Long,Short,Bangalore Rural,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.21696879,0.280952662,0.309858054,0.234388262,0.352776051,0.351396263,0.288596928,0.345445395,0.266581088,0.125950828,0.497906804,0.045342479,-14.62788113,-12.76385861,-10.75690636,-8.89225839,-11.9718402,-7.548145255,-10.78882547,-7.907101066,-8.271646689,-8.551073229,-7.097455954,-12.39747265,-4.942238404,-7.964446676,-7.762463569,-20.82407437,-16.63148045,-18.04840114,-13.51641072,-17.08861859,-16.04989066,-14.55317043,-18.77124932,-16.53942907,-16.15894118,-13.01477497,-17.3540565,-16.64492155,-14.98081103,-11.94028508,1,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.245000243,0.177174985,0.308368236,0.45702827,0.270828962,0.095041491,0.036208734,0.311810791,0.089841217,0.048770603,0.429189861,0.314617515,-11.4365753,-14.19897133,-11.36325922,-3.698728113,-6.779768802,-7.312379002,-7.82253297,-7.222803482,-9.936703393,-10.01889502,-7.940009746,-11.5649585,-12.11040751,-9.601646762,-9.381199856,-18.90865221,-16.14680183,-14.52049546,-16.3194726,-17.25141701,-13.62859961,-17.20006382,-18.19305976,-15.94878161,-20.46337139,-15.88471467,-17.16831108,-12.38912543,-13.2121644,-14.28152466,1,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.306016117,0.285063505,0.369783461,0.465045631,0.065684535,0.197642401,0.090597503,0.391172498,0.258597113,0.126021728,0.450314105,0.281017482,-9.518258499,-11.65757172,-12.61380845,-10.23388194,-12.67393411,-10.38705671,-13.34907113,-11.84616906,-7.880498345,-8.247035025,-9.780882651,-9.98161328,-11.23769343,-8.438434267,-7.033312495,-17.03474519,-14.2967396,-17.41112587,-15.54489007,-15.44999284,-16.81252407,-16.59565562,-13.61667253,-16.29425471,-12.87824429,-12.51042015,-12.21295637,-12.64090063,-15.47352567,-11.95054223,1,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.233271837,0.23547858,0.289903462,0.386526644,0.0592429,0.187789351,0.09930478,0.329944849,0.225795008,0.121645167,0.426226079,0.304906219,-10.66401514,-10.67192564,-9.380843223,-8.93373493,-7.634773091,-7.50324231,-10.89785785,-6.842660956,-5.984909912,-6.428217555,-8.997765709,-12.22338658,-8.292814047,-7.599002075,-10.28597517,-15.78083399,-13.81453394,-16.64063698,-12.62254844,-12.34617264,-15.79812059,-16.10677253,-16.83356917,-18.09383187,-15.73407318,-15.88417561,-13.54495167,-15.27733604,-11.61438152,-12.22063666,2,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.216845796,0.285952061,0.552599311,0.36713171,0.086216494,0.277818799,0.109501198,0.10677629,0.500045121,0.086064897,0.318973631,0.291902959,-15.27960148,-11.67667114,-8.360762984,-5.103029088,-5.796913229,-9.158164489,-8.500669403,-6.232723929,-7.979287512,-10.78534747,-8.786885065,-8.790293342,-10.05896904,-8.166059113,-7.525644169,-18.01302591,-20.20698616,-16.6664193,-15.54140504,-14.41695885,-14.92414462,-16.03686465,-14.52344914,-13.92227629,-12.42753539,-14.72024572,-16.94351005,-11.89800153,-15.36776262,-18.00736911,1,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.45036611,0.480715692,0.486564726,0.346263766,0.095716611,0.056852255,0.08756426,0.351837039,0.34305793,0.098309644,0.434207529,0.20374313,-7.172200353,-11.5106697,-8.239557093,-8.337832441,-8.47681108,-12.20123359,-5.983783992,-10.08454474,-7.402014693,-10.68306445,-11.62435298,-9.266290857,-8.924419021,-8.706530146,-4.690736384,-17.9348297,-20.01217587,-13.03429602,-12.3146817,-14.58181111,-13.12205971,-17.96389926,-14.21600497,-15.39889761,-16.37431121,-17.7253431,-19.39015714,-14.88094503,-15.76374341,-12.98274677,2,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.396755755,0.456019551,0.479836732,0.353692323,0.097655207,0.056438949,0.086196855,0.364364386,0.318834245,0.094405763,0.412737489,0.175871715,-10.53370214,-12.82327321,-9.80228743,-7.938625006,-13.92396875,-9.398244619,-8.977910749,-9.050783808,-10.07709097,-6.440289723,-10.42277709,-10.91597639,-9.525760722,-9.661601898,-8.060889063,-17.33605584,-17.38112645,-19.84272486,-14.82273503,-15.79625774,-16.14791391,-16.09223896,-13.62670402,-14.65223962,-14.90955448,-18.20511141,-16.11605611,-14.47038979,-12.8679996,-13.24191917,1,False
