Latitude,Longitude,Crop_Name,VV_0,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VH_0,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14
12.6643217,77.703415,Rose,-12.26126272,-6.45255423,-11.97160634,-9.524853958,-7.479973255,-8.328105294,-9.657258554,-7.175557707,-4.983023441,-3.326509341,-9.274315949,-6.604292681,-9.519209364,-7.214058368,-5.376752602,-22.46654418,-19.97805016,-20.85488554,-18.15839935,-17.65172162,-16.29035984,-17.00140625,-19.75759395,-29.25864774,-15.12772914,-19.25017782,-20.94632348,-14.28396343,-14.59512745,-19.17189964
12.66433,77.70343,Rose,-12.26126272,-6.45255423,-11.97160634,-9.524853958,-7.479973255,-8.328105294,-9.657258554,-7.118150072,-4.983023441,-3.326509341,-9.274315949,-6.604292681,-8.534010009,-7.214058368,-5.376752602,-22.46654418,-19.97805016,-20.85488554,-18.15839935,-17.65172162,-16.29035984,-17.00140625,-22.57679839,-29.25864774,-15.12772914,-19.25017782,-20.94632348,-14.0383665,-14.59512745,-19.17189964
12.6643317,77.7034333,Rose,-12.26126272,-6.45255423,-11.97160634,-10.93989492,-7.479973255,-8.328105294,-9.657258554,-7.118150072,-4.719384553,-3.326509341,-9.274315949,-6.604292681,-8.534010009,-7.214058368,-5.376752602,-22.46654418,-19.97805016,-20.85488554,-21.1925647,-17.65172162,-16.29035984,-17.00140625,-22.57679839,-21.7977804,-15.12772914,-19.25017782,-20.94632348,-14.0383665,-14.59512745,-19.17189964
12.6644537,77.7050712,Ragi,-10.18875832,-9.855086301,-10.32873857,-12.63078892,-14.54393819,-12.33381494,-13.46738073,-10.43077287,-11.50460847,-5.212259946,-6.897054984,-9.563753674,-5.410304961,-10.38728876,-6.983866612,-17.29778812,-17.84404884,-18.80458385,-16.36804036,-19.07414366,-18.39995029,-15.56766713,-14.30047505,-17.62216566,-12.76561535,-17.60829938,-20.16478634,-10.27742899,-11.27876726,-14.28436129
12.6644617,77.7050717,Ragi,-10.18875832,-9.855086301,-10.32873857,-12.63078892,-12.02997208,-12.33381494,-13.46738073,-11.48970843,-11.50460847,-5.212259946,-6.897054984,-9.563753674,-5.410304961,-10.38728876,-6.983866612,-17.29778812,-17.84404884,-18.80458385,-16.36804036,-16.76843895,-18.39995029,-15.56766713,-13.68417733,-17.62216566,-12.76561535,-17.60829938,-20.16478634,-10.27742899,-11.27876726,-14.28436129
12.664755,77.7054317,Eucalyptus,-10.46286516,-11.58025303,-12.04964375,-11.57843251,-11.93068951,-10.40343301,-9.942919873,-11.18937213,-10.15129054,-6.383095798,-11.94874773,-12.96268384,-3.843633072,-6.562123074,-8.425006652,-15.32040907,-16.9188883,-16.73501746,-16.02516368,-16.32187539,-16.39591924,-18.25624465,-16.17294564,-16.47557029,-15.42896851,-15.43720783,-25.38256868,-14.56161475,-14.33103799,-11.93072989
12.664758,77.7054153,Eucalyptus,-10.46286516,-11.58025303,-12.04964375,-11.57843251,-11.93068951,-10.40343301,-9.942919873,-11.18937213,-10.15129054,-6.383095798,-11.94874773,-12.96268384,-3.522717821,-6.562123074,-8.425006652,-15.32040907,-16.9188883,-16.73501746,-16.02516368,-16.32187539,-16.39591924,-18.25624465,-16.17294564,-16.47557029,-15.42896851,-15.43720783,-25.38256868,-15.40840179,-14.33103799,-11.93072989
12.6647965,77.7028243,HariMirch,-6.426270884,-8.465996506,-6.112434419,-11.32813,-4.043134926,-10.21818324,-7.580560935,-6.98012529,-8.390108693,-8.638202745,-11.01197121,-7.194209598,-7.689876585,-9.502129323,-8.073449125,-16.91295171,-16.82676498,-17.57996864,-15.61243477,-15.9464646,-16.06516292,-16.92124148,-14.12247488,-12.32166268,-16.3972946,-19.10609606,-17.00823232,-15.67017806,-16.03411359,-18.33207272
12.6647978,77.7028306,HariMirch,-8.294752138,-8.465996506,-6.112434419,-11.32813,-6.940100733,-10.21818324,-7.580560935,-6.98012529,-8.390108693,-8.638202745,-11.01197121,-7.194209598,-7.689876585,-9.502129323,-8.073449125,-17.36704799,-16.82676498,-17.57996864,-15.61243477,-18.17319749,-16.06516292,-16.92124148,-14.12247488,-12.32166268,-16.3972946,-19.10609606,-17.00823232,-15.67017806,-16.03411359,-18.33207272
12.6649359,77.7054804,Ragi,-12.04686789,-10.97953428,-10.26586236,-9.365814106,-11.91750024,-9.717895056,-9.470648196,-14.25386369,-13.06801229,-8.076764388,-9.057163818,-8.995745464,-4.913363095,-10.06462412,-9.641604694,-15.74641573,-16.86632439,-20.14213854,-14.74821909,-20.50195781,-16.31324646,-16.16369427,-18.45140905,-17.12705139,-15.60040996,-14.4908656,-16.78333412,-14.8024795,-14.63202032,-16.7885295
