Latitude,Longitude,Crop_Name,VV_0,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VH_0,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14
12.7927496,77.4756647,Ragi,-14.51953302,-10.34087168,-8.857427604,-13.8349366,-17.49005634,-6.221311474,-13.9016886,-8.815464855,-9.05865764,-8.940144416,-12.34861201,-9.607572235,-7.954750601,-7.948499768,-9.036021839,-21.23088637,-18.73814572,-14.79098626,-14.8644193,-20.4238925,-16.06086714,-15.66583687,-18.84127726,-16.54264415,-18.88007064,-19.86391938,-15.5912079,-16.10406524,-18.72704915,-20.25580208
12.7927553,77.4756641,Ragi,-14.51953302,-10.34087168,-10.96065667,-13.8349366,-17.49005634,-6.221311474,-13.9016886,-8.815464855,-9.05865764,-8.940144416,-12.34861201,-9.607572235,-7.954750601,-7.948499768,-11.82833235,-21.23088637,-18.73814572,-15.56695877,-14.8644193,-20.4238925,-16.06086714,-15.66583687,-18.84127726,-16.54264415,-18.88007064,-19.86391938,-15.5912079,-16.10406524,-18.72704915,-19.30328941
12.7927724,77.475664,Ragi,-14.51953302,-10.34087168,-10.96065667,-14.78892186,-17.49005634,-6.221311474,-13.9016886,-8.815464855,-11.8367202,-8.940144416,-12.34861201,-9.607572235,-7.109443329,-7.948499768,-11.82833235,-21.23088637,-18.73814572,-15.56695877,-17.41402958,-20.4238925,-16.06086714,-15.66583687,-18.84127726,-15.34514704,-18.88007064,-19.86391938,-15.5912079,-17.3124176,-18.72704915,-19.30328941
12.7936633,77.4724708,Coconut,-8.624087035,-6.681130132,-5.267354243,-8.950286364,-6.353816397,-6.913697897,-8.800042326,-11.82112443,-7.403976305,-6.134375038,-8.035200179,-10.29426016,-7.046842515,-5.300603478,-5.307747557,-20.08023001,-18.89858463,-16.79270629,-12.09663409,-16.57284512,-15.02350034,-15.20963915,-15.00057431,-18.75992477,-16.54488852,-13.81636685,-12.70620878,-15.33262373,-15.41129991,-15.31951138
12.7938293,77.4716084,Teak/Saguvani,-6.630511683,-8.588138231,-9.354114136,-7.147125909,-6.970331023,-12.8862752,-9.986613274,-8.438861594,-7.819100631,-3.694205174,-5.827114759,-7.62346384,-8.115850358,-5.929612761,-7.472434612,-15.75705947,-15.63778269,-13.97555458,-13.9663712,-15.65873881,-11.40691255,-20.67240981,-14.99349121,-14.64923104,-13.64038334,-15.47088253,-16.88834484,-15.83947184,-14.35281137,-14.46027969
12.7938989,77.4715526,Teak/Saguvani,-7.195525801,-8.553541957,-8.258961292,-7.143123671,-9.311738823,-12.8862752,-8.535459217,-10.55437584,-6.709464879,-5.516572211,-4.970647532,-12.32424137,-6.241885669,-6.441116661,-8.395394575,-19.41237643,-14.23282483,-15.19534871,-13.58145633,-19.11507114,-11.40691255,-17.98664822,-15.12624621,-14.57404076,-15.83850364,-14.28211475,-13.81403748,-19.50132981,-14.93948619,-13.64215916
12.79390437,77.47417424,Coconut,-7.356046112,-9.825279631,-7.072328939,-7.67513345,-11.80150886,-9.880237392,-10.17293066,-9.990506286,-8.870313677,-5.201864933,-10.56865196,-11.42656737,-10.07338385,-8.431141862,-5.395011029,-17.42870486,-16.96214396,-15.21867818,-17.25261617,-16.01965447,-15.10317934,-15.62220859,-14.79243948,-17.41457193,-14.82564708,-15.76513776,-14.77527816,-15.20875628,-14.20620989,-14.25815281
12.7939898,77.4730188,Coconut,-9.425549163,-9.218149241,-8.544634434,-7.143525941,-9.463246214,-8.64597381,-6.454496415,-7.91697243,-10.47898081,-6.135695655,-5.979012467,-7.980243019,-9.173958716,-12.60842623,-5.213297593,-17.4729872,-19.35779916,-13.25380447,-15.08616473,-14.29460103,-14.02276096,-12.01359339,-15.99362616,-13.92119983,-14.97003869,-14.88353626,-12.85666074,-12.48317754,-8.939465579,-16.46007677
12.7939976,77.4714902,Coconut,-6.639568628,-8.931056096,-8.629171978,-8.027452086,-7.719044204,-9.409451317,-10.88489256,-8.983896174,-6.756805362,-5.401438085,-5.390257085,-11.45595248,-6.668014519,-7.666333464,-10.48266188,-23.85586384,-12.79522214,-14.43275593,-14.23243895,-18.65104817,-13.17949936,-15.47070177,-17.29082214,-14.77595058,-15.28208648,-12.97543719,-13.1609955,-18.83110675,-16.14980324,-15.1030578
12.79401,77.4740536,Coconut,-8.30165914,-7.888746146,-6.914967384,-8.066553348,-11.49903592,-12.23523598,-9.027662742,-12.83061404,-7.519609973,-6.703498047,-8.575556753,-7.679360554,-8.19953808,-11.1496646,-5.293173803,-23.00983534,-15.97565861,-15.15209448,-16.31589516,-14.02053057,-13.79216368,-18.38498724,-11.78185664,-13.43323754,-14.7690661,-12.90126232,-13.74150733,-15.1073672,-15.02754019,-11.50748189
12.7940145,77.4715244,Chiku (Sapota),-6.99595562,-8.931056096,-5.960833354,-8.027452086,-7.719044204,-7.825937426,-10.88489256,-8.983896174,-6.756805362,-5.401438085,-5.390257085,-11.45595248,-6.668014519,-6.075951326,-10.48266188,-19.38542845,-12.79522214,-15.89547216,-14.23243895,-18.65104817,-13.89805368,-15.47070177,-17.29082214,-14.77595058,-15.28208648,-12.97543719,-13.1609955,-18.83110675,-17.56477228,-15.1030578
12.7940161,77.4715162,Chiku (Sapota),-6.99595562,-8.931056096,-8.629171978,-8.027452086,-7.719044204,-7.825937426,-10.88489256,-8.983896174,-6.756805362,-5.401438085,-5.390257085,-11.45595248,-6.668014519,-7.666333464,-10.48266188,-19.38542845,-12.79522214,-14.43275593,-14.23243895,-18.65104817,-13.89805368,-15.47070177,-17.29082214,-14.77595058,-15.28208648,-12.97543719,-13.1609955,-18.83110675,-16.14980324,-15.1030578
12.7940252,77.471466,Mangoes,-8.852155375,-7.914030282,-8.629171978,-8.650378187,-8.604470131,-7.825937426,-10.88489256,-8.983896174,-7.122998782,-6.91208359,-6.540201072,-7.473063147,-7.701969522,-7.666333464,-10.48266188,-15.72821359,-14.87746245,-14.43275593,-15.56879024,-18.54413901,-13.89805368,-15.47070177,-17.29082214,-14.67347357,-13.79539464,-13.58071718,-14.85239968,-15.59318687,-16.14980324,-15.1030578
12.7940438,77.4714753,Mangoes,-8.852155375,-7.914030282,-8.629171978,-8.027452086,-6.869031926,-7.825937426,-10.26290633,-8.12810126,-7.122998782,-6.152540334,-7.430191683,-7.473063147,-6.668014519,-7.666333464,-10.48266188,-15.72821359,-14.87746245,-14.43275593,-14.23243895,-20.79483321,-13.89805368,-16.7869365,-15.82837432,-14.67347357,-15.07239282,-12.46792249,-14.85239968,-18.83110675,-16.14980324,-15.1030578
12.7952506,77.4727164,Jowar,-10.74315638,-9.369048743,-10.0290878,-7.637249864,-5.558137899,-8.716651776,-7.887531233,-7.355645845,-7.458282341,-10.03534864,-8.457217117,-9.818063215,-7.58503761,-5.060033135,-8.348473285,-17.52200079,-15.24967293,-14.50572146,-12.46744073,-13.76866293,-18.22075557,-13.65517743,-15.32516085,-11.14328946,-12.58231189,-17.75133756,-14.33572981,-13.44426018,-11.94027851,-18.99471869
12.830839,77.4258673,Coconut,-8.538323957,-7.457397552,-6.919238725,-4.234278613,-8.011848208,-7.715771442,-8.606698474,-6.436673294,-10.69635131,-8.41514361,-10.01996858,-7.303809399,-7.500830581,-8.357906109,-7.342276959,-15.34008121,-17.02445525,-12.49161322,-14.30875184,-14.95078738,-16.09966689,-14.3527933,-11.44850386,-10.89499718,-14.88003468,-12.41746161,-13.57892204,-17.11920472,-19.36660555,-13.95187214
12.8308408,77.4258742,Coconut,-8.538323957,-8.093363335,-6.919238725,-4.234278613,-8.011848208,-7.715771442,-8.334571172,-6.436673294,-10.69635131,-8.41514361,-10.01996858,-7.303809399,-7.500830581,-8.357906109,-7.342276959,-15.34008121,-18.5953984,-12.49161322,-14.30875184,-14.95078738,-16.09966689,-13.05941007,-11.44850386,-10.89499718,-14.88003468,-12.41746161,-13.57892204,-17.11920472,-19.36660555,-13.95187214
12.8308465,77.4258645,Coconut,-8.538323957,-7.457397552,-6.919238725,-4.234278613,-8.011848208,-6.551811379,-8.606698474,-6.436673294,-10.69635131,-8.41514361,-10.01996858,-7.303809399,-7.500830581,-8.357906109,-7.342276959,-15.34008121,-17.02445525,-12.49161322,-14.30875184,-14.95078738,-17.03544451,-14.3527933,-11.44850386,-10.89499718,-14.88003468,-12.41746161,-13.57892204,-17.11920472,-19.36660555,-13.95187214
12.8315224,77.4267843,Ragi,-12.28770116,-13.92665754,-6.054317768,-9.950869689,-7.280427722,-5.765666876,-9.726675901,-9.496479589,-6.414148009,-12.66813685,-8.735076614,-7.19300908,-12.29188818,-8.787884601,-11.85197068,-13.46680379,-22.82167726,-17.99514904,-16.55422265,-18.53852797,-16.52983667,-14.64378803,-13.97384513,-16.82084203,-17.57881273,-14.81824918,-15.24883687,-13.78836145,-12.7461024,-16.45127988
12.8315414,77.4268039,Ragi,-12.28770116,-12.26937873,-6.054317768,-12.47082215,-7.280427722,-4.973235906,-8.94753839,-9.496479589,-6.591562614,-12.66813685,-8.735076614,-7.19300908,-11.37274352,-8.787884601,-10.17165973,-13.46680379,-20.72854918,-17.99514904,-16.15103913,-18.53852797,-13.44569895,-12.75780734,-13.97384513,-18.47465026,-17.57881273,-14.81824918,-15.24883687,-12.95539706,-12.7461024,-16.45144961
12.8315429,77.4267891,Ragi,-12.28770116,-13.92665754,-6.054317768,-12.47082215,-7.280427722,-5.765666876,-9.726675901,-9.496479589,-6.591562614,-12.66813685,-8.735076614,-7.19300908,-11.37274352,-8.787884601,-11.85197068,-13.46680379,-22.82167726,-17.99514904,-16.15103913,-18.53852797,-16.52983667,-14.64378803,-13.97384513,-18.47465026,-17.57881273,-14.81824918,-15.24883687,-12.95539706,-12.7461024,-16.45127988
12.8315432,77.4267979,Ragi,-12.28770116,-13.92665754,-6.054317768,-12.47082215,-7.280427722,-4.973235906,-9.726675901,-9.496479589,-6.591562614,-12.66813685,-8.735076614,-7.19300908,-11.37274352,-8.787884601,-10.17165973,-13.46680379,-22.82167726,-17.99514904,-16.15103913,-18.53852797,-13.44569895,-14.64378803,-13.97384513,-18.47465026,-17.57881273,-14.81824918,-15.24883687,-12.95539706,-12.7461024,-16.45144961
12.8315597,77.4268072,Ragi,-12.28770116,-12.26937873,-6.054317768,-11.71824385,-7.280427722,-4.913732223,-8.94753839,-9.496479589,-6.591562614,-12.66813685,-8.735076614,-7.19300908,-11.37274352,-8.787884601,-10.17165973,-13.46680379,-20.72854918,-17.99514904,-15.51356374,-18.53852797,-11.92085071,-12.75780734,-13.97384513,-18.47465026,-17.57881273,-14.81824918,-15.24883687,-12.95539706,-12.7461024,-16.45144961
12.831571,77.4268203,Ragi,-10.61197939,-12.26937873,-6.054317768,-11.71824385,-7.280427722,-4.913732223,-8.94753839,-9.496479589,-6.591562614,-8.653491107,-7.797532814,-8.837227549,-9.738933903,-8.787884601,-10.17165973,-16.43596982,-20.72854918,-17.99514904,-15.51356374,-18.53852797,-11.92085071,-12.75780734,-13.97384513,-18.47465026,-15.58139326,-15.19587106,-14.64569356,-12.94859779,-12.7461024,-16.45144961
12.8315716,77.4268273,Ragi,-10.33833601,-12.26937873,-6.054317768,-11.71824385,-7.721689008,-4.913732223,-8.94753839,-9.496479589,-6.591562614,-8.653491107,-7.797532814,-8.837227549,-9.738933903,-8.787884601,-10.17165973,-17.12136257,-20.72854918,-17.99514904,-15.51356374,-20.98074905,-11.92085071,-12.75780734,-13.97384513,-18.47465026,-15.58139326,-15.19587106,-14.64569356,-12.94859779,-12.7461024,-16.45144961
