Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
190000,20850,0.22086036,3330.0,2046.0,1911.5,1783.5,1646.0,3237.0,-0.054777061,2.001860974,2,-5.980989855,0.2940596,0.494071777,38.86088849,0.3283708,-0.2940596,0.492504401,87.77784493,25.6723686
190001,20851,0.20839934,3330.0,2046.0,1933.0,1853.5,1718.5,3315.5,-0.044209905,2.001817439,2,23.10977038,0.28758517,0.483496305,38.38587299,0.31896082,-0.28758517,0.478392395,87.77793476,25.6723686
190002,20852,0.20839934,3330.0,2046.0,1933.0,1853.5,1718.5,3315.5,-0.044209905,2.001817439,2,23.10977038,0.28758517,0.483496305,38.38587299,0.31896082,-0.28758517,0.478392395,87.77802459,25.6723686
190003,20853,0.20370534,3186.0,1938.0,1914.0,1848.0,1741.5,3313.0,-0.037370998,2.006830329,2,-15.52249383,0.29003674,0.479157863,37.33646462,0.31581047,-0.29003674,0.473666878,87.77811442,25.6723686
190004,20854,0.22681181,3186.0,1938.0,1837.0,1757.0,1613.5,3197.0,-0.058129308,2.011961244,2,-4.463668775,0.2970177,0.502852274,39.36764962,0.3376723,-0.2970177,0.506452774,87.77820425,25.6723686
190005,20855,0.23977585,2640.5,1549.0,1770.5,1695.5,1501.0,3039.0,-0.077312376,2.01297067,2,-3.171233169,0.28908986,0.51348061,40.61412969,0.34730473,-0.28908986,0.520896526,87.77829408,25.6723686
190006,20856,0.24557321,2640.5,1549.0,1716.5,1625.5,1412.0,2889.5,-0.08696922,2.013139715,2,-2.4650673,0.28440085,0.515824901,40.59875472,0.34942186,-0.28440085,0.524069928,87.77838391,25.6723686
190007,20857,0.2573238,2213.5,1236.0,1686.5,1570.0,1330.5,2778.0,-0.102389375,2.013994631,2,-2.007252777,0.281161,0.523792837,41.30489445,0.35665363,-0.281161,0.534914064,87.77847375,25.6723686
190008,20858,0.27126652,2213.5,1236.0,1721.0,1595.0,1336.0,2895.0,-0.109051334,2.017753523,2,-2.091315643,0.29351673,0.541884789,43.61009771,0.37333196,-0.29351673,0.559930234,87.77856358,25.6723686
190009,20859,0.19637467,3213.5,2050.0,1883.5,1805.0,1713.0,3230.5,-0.033022875,2.003650946,2,4.900950916,0.28614074,0.469802761,36.02990808,0.30705485,-0.28614074,0.460535015,87.77766526,25.67245843
190010,20860,0.19979842,3213.5,2050.0,1834.0,1768.0,1650.0,3125.5,-0.039837795,2.003091373,2,6.492145818,0.28060383,0.472386775,36.34865213,0.30927247,-0.28060383,0.463859537,87.77775509,25.67245843
190011,20861,0.21491791,3080.5,1925.0,1845.5,1736.0,1598.0,3109.5,-0.053225834,2.000813694,2,-9.277927691,0.2866727,0.486542651,37.77188935,0.32152647,-0.2866727,0.482237828,87.77784493,25.67245843
190012,20862,0.21806261,3080.5,1925.0,1905.5,1784.5,1631.0,3187.0,-0.057582053,2.000597386,2,-6.714454053,0.28548014,0.488785321,38.66468298,0.32348767,-0.28548014,0.485180277,87.77793476,25.67245843
