Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
80000,16568,0.42324188,1370.2,681.8,1397.4,1298.2,936.8,3222.6,-0.181012523,2.211461659,9,-3.642774628,0.42463666,0.70709345,59.91345625,0.5483872,-0.42463666,0.822482111,87.69340329,25.72042847
80001,16569,0.4104384,1433.2,758.8,1400.4,1290.6,945.8,3122.4,-0.175376448,2.184937087,9,-3.355917896,0.4139465,0.694726725,57.96866861,0.5337719,-0.4139465,0.800559542,87.69349312,25.72042847
80002,16570,0.39507467,1433.2,758.8,1404.2,1292.6,961.6,3027.0,-0.168347067,2.156248213,9,-3.117036609,0.40062717,0.680181918,55.96999114,0.51684004,-0.40062717,0.775163055,87.69358295,25.72042847
80003,16571,0.3950392,1471.2,804.4,1409.6,1294.6,959.6,3014.0,-0.170442345,2.153616875,9,-2.95087891,0.3981665,0.679601444,55.94933086,0.5159899,-0.3981665,0.773887609,87.69367278,25.72042847
80004,16572,0.39322063,1471.2,804.4,1413.8,1300.8,970.4,3040.8,-0.166797281,2.151767255,9,-3.084275411,0.39992392,0.678959613,55.9576641,0.5151673,-0.39992392,0.772654755,87.69376261,25.72042847
80005,16573,0.38742635,1413.2,756.6,1420.4,1324.8,987.4,3051.6,-0.16388706,2.144410267,9,-3.229936721,0.393465,0.674164533,55.86820254,0.50981975,-0.393465,0.764635069,87.69385245,25.72042847
80006,16574,0.42044625,1370.2,681.8,1399.0,1296.4,934.8,3180.2,-0.18204592,2.20450371,9,-3.435791089,0.4197475,0.703737171,59.39378121,0.54443103,-0.4197475,0.816547487,87.69340329,25.7205183
80007,16575,0.4069545,1433.2,758.8,1400.8,1288.8,944.4,3075.8,-0.1759253,2.176775342,9,-3.167207804,0.4085109,0.690820892,57.3699402,0.5291598,-0.4085109,0.793641116,87.69349312,25.7205183
80008,16576,0.38711548,1433.2,758.8,1405.4,1291.0,965.4,2959.4,-0.166142805,2.139682176,9,-2.883667719,0.39206424,0.67229526,54.83445828,0.50752336,-0.39206424,0.761188173,87.69358295,25.7205183
80009,16577,0.3792696,1471.2,804.4,1409.2,1278.4,972.2,2906.0,-0.16113683,2.125804313,9,-2.698280321,0.38860136,0.664098307,53.42906932,0.49823886,-0.38860136,0.747262009,87.69367278,25.7205183
80010,16578,0.37690073,1471.2,804.4,1410.6,1281.4,979.0,2912.4,-0.158336125,2.122160131,9,-2.753753455,0.3885559,0.662618999,53.26736422,0.4964167,-0.3885559,0.744529413,87.69376261,25.7205183
80011,16579,0.38821107,1413.2,756.6,1416.6,1318.0,986.4,3058.2,-0.162503395,2.146155996,9,-3.294556568,0.39672527,0.675382095,55.84196768,0.511157,-0.39672527,0.76664081,87.69385245,25.7205183
80012,16580,0.37421983,1585.4,836.8,1408.4,1271.6,966.0,2827.8,-0.163123315,2.116127144,2,-2.42483482,0.3792631,0.656925837,52.42123703,0.49042207,-0.3792631,0.735536213,87.69277447,25.72060813
