Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
170000,850,0.22503628,2227.0,1315.5,2024.5,1809.0,1538.5,2712.0,-0.110702088,2.080258255,2,-1.293374783,0.21351077,0.441140392,36.08121923,0.29088497,-0.21351077,0.436272343,87.71307639,25.46674423
170001,851,0.12993169,3205.0,2005.5,2327.5,2294.0,2304.0,3518.5,0.002291625,2.191370409,1,0.918716024,0.22748691,0.355363897,26.15401533,0.2233732,-0.22748691,0.33502836,87.71029162,25.46683406
170002,852,0.17767873,3205.0,2005.5,2305.0,2240.0,2117.5,3478.0,-0.041542284,2.167816065,1,-14.25291286,0.2366298,0.407521728,32.8711664,0.26874226,-0.2366298,0.403072305,87.71038145,25.46683406
170003,853,0.18725431,2862.5,1661.0,2303.5,2207.5,2049.5,3388.5,-0.056705518,2.150538988,1,-3.278625014,0.23150581,0.414511594,33.77681753,0.27365658,-0.23150581,0.410441231,87.71047128,25.46683406
170004,854,0.15647848,2862.5,1661.0,2317.0,2220.0,2101.5,3309.0,-0.037018545,2.124173312,1,-15.09898652,0.21291786,0.37941686,30.00736008,0.23961733,-0.21291786,0.359389037,87.71056111,25.46683406
170005,855,0.15647848,2862.5,1661.0,2317.0,2220.0,2101.5,3309.0,-0.037018545,2.124173312,1,-15.09898652,0.21291786,0.37941686,30.00736008,0.23961733,-0.21291786,0.359389037,87.71065094,25.46683406
170006,856,0.1712508,2566.0,1670.5,2062.5,1899.5,1722.5,2785.5,-0.06407239,2.083693503,2,-4.990785419,0.19607098,0.384134083,30.30108779,0.24029277,-0.19607098,0.360398183,87.71298656,25.46683406
170007,857,0.19921012,2227.0,1315.5,2021.0,1824.0,1606.5,2721.5,-0.086404488,2.076763715,2,-1.762329358,0.20828362,0.415078878,33.07998376,0.26697373,-0.20828362,0.400412056,87.71307639,25.46683406
170008,858,0.123489924,3258.0,1931.0,2363.5,2316.5,2342.5,3529.5,0.006139016,2.181739316,1,0.7155866,0.22442909,0.347106806,25.13062601,0.21556395,-0.22442909,0.323315876,87.71029162,25.46692389
170009,859,0.15176319,3258.0,1931.0,2345.0,2249.0,2174.0,3417.5,-0.024364037,2.129269936,1,4.795473928,0.22412689,0.37866524,29.28554713,0.23936848,-0.22412689,0.359016902,87.71038145,25.46692389
170010,860,0.15626809,2958.0,1845.5,2326.5,2216.0,2100.0,3267.5,-0.039540786,2.132589418,1,-3.868452783,0.21022728,0.375087009,29.32511838,0.23648018,-0.21022728,0.354682623,87.71047128,25.46692389
170011,861,0.17568102,3037.5,2053.5,1741.5,1633.0,1491.0,2488.5,-0.063913591,2.049952888,1,-1.536607417,0.2084864,0.402778607,29.46530909,0.2533507,-0.2084864,0.379977575,87.85465088,25.52001433
170012,862,0.18863249,2996.0,2000.0,1744.0,1628.0,1451.0,2487.5,-0.076473049,2.038575472,1,-1.380089018,0.20985802,0.417998099,31.39994647,0.26549888,-0.20985802,0.398197135,87.85474071,25.52001433
170013,863,0.17356037,3037.5,2053.5,1714.5,1602.0,1454.5,2400.5,-0.066804045,2.054744866,1,-1.367488362,0.20028971,0.395364537,28.78143551,0.24736619,-0.20028971,0.371000627,87.85465088,25.52010416
170014,864,0.18498492,2996.0,2000.0,1710.0,1608.5,1425.5,2419.0,-0.077039096,2.048370889,1,-1.361448273,0.2018731,0.410633634,30.83652755,0.26007524,-0.2018731,0.390061731,87.85474071,25.52010416
170015,865,0.18604642,2967.0,2005.0,1707.5,1590.5,1407.5,2376.0,-0.080467389,2.048377768,1,-1.221018642,0.19910936,0.408346828,30.49315133,0.25806752,-0.19910936,0.387049609,87.85465088,25.52019399
170016,866,0.18174575,3041.5,2003.5,1703.0,1595.5,1425.5,2399.5,-0.073923934,2.049866467,1,-1.34109093,0.20206301,0.40608085,30.09843964,0.256234,-0.20206301,0.38430035,87.85474071,25.52019399
170017,867,0.2074059,3041.5,2003.5,1721.0,1622.0,1430.0,2612.0,-0.07987442,2.031720718,1,-1.73069663,0.23438391,0.451235834,34.5589343,0.2942068,-0.23438391,0.441255239,87.85483055,25.52019399
170018,868,0.18522866,2967.0,2005.0,1702.5,1595.0,1402.0,2355.5,-0.082801132,2.054595011,1,-1.19303052,0.19328575,0.405356903,30.51263203,0.25608566,-0.19328575,0.384076821,87.85465088,25.52028382
170019,869,0.18912275,3041.5,2003.5,1715.5,1601.0,1421.5,2437.5,-0.07804498,2.043130917,1,-1.353000158,0.20791577,0.416759637,31.20211112,0.2649075,-0.20791577,0.397309382,87.85474071,25.52028382
170020,870,0.20301338,3041.5,2003.5,1726.0,1634.5,1455.5,2650.5,-0.072640275,2.031937407,1,-2.036835652,0.23747253,0.448638173,34.24982675,0.2919124,-0.23747253,0.437815129,87.85483055,25.52028382
170021,871,0.1885739,3081.0,2044.5,1711.5,1598.0,1433.5,2470.5,-0.073086716,2.044047262,1,-1.47649871,0.21506135,0.419290753,31.09749832,0.26724103,-0.21506135,0.400809853,87.85465088,25.52037365
170022,872,0.21248527,3217.5,2084.5,1728.5,1626.0,1427.0,2640.5,-0.082807023,2.030898625,1,-1.718139283,0.23835063,0.457916551,35.32489328,0.300079,-0.23835063,0.450062792,87.85474071,25.52037365
170023,873,0.22480541,3217.5,2084.5,1721.0,1630.5,1440.0,2801.0,-0.077895288,2.028481783,1,-2.365845356,0.2644627,0.483057014,37.56965856,0.32230738,-0.2644627,0.483403788,87.85483055,25.52037365
170024,874,0.22463736,3081.0,2044.5,1709.0,1616.5,1416.0,2743.5,-0.081771745,2.022181599,1,-2.138182868,0.25869474,0.481575721,37.43739475,0.3201113,-0.25869474,0.480109069,87.85465088,25.52046349
170025,875,0.24012908,3217.5,2084.5,1710.0,1626.0,1410.0,2862.0,-0.086521641,2.030923317,1,-2.465943028,0.2752217,0.503350201,39.92984152,0.3408712,-0.2752217,0.511246784,87.85474071,25.52046349
170026,876,0.22444798,3263.0,2114.0,1722.0,1643.5,1443.5,2811.5,-0.078654264,2.018085372,1,-2.36012927,0.26279598,0.485729563,37.9991443,0.32325763,-0.26279598,0.484829106,87.85474071,25.52064315
170027,877,0.20693748,3263.0,2114.0,1726.0,1637.0,1484.0,2759.5,-0.065277298,2.031807182,1,-2.471443939,0.255937,0.460915314,34.85791954,0.3028805,-0.255937,0.454266741,87.85483055,25.52064315
170028,878,0.20507142,3174.5,2124.5,1727.5,1655.5,1480.0,2736.5,-0.06847537,2.02524184,1,-2.334350438,0.24700333,0.458405669,35.16488094,0.2997879,-0.24700333,0.449628192,87.85492038,25.52064315
170029,879,0.26368606,3156.5,1979.0,1694.0,1602.5,1379.5,3026.5,-0.089753292,2.017823334,1,-3.005568197,0.30789158,0.543141227,43.64718029,0.3744584,-0.30789158,0.561623732,87.85474071,25.52073298
170030,880,0.19674125,3156.5,1979.0,1720.5,1634.5,1482.0,2672.0,-0.063996088,2.029883715,1,-2.213087211,0.2415909,0.445097032,33.35599236,0.28849977,-0.2415909,0.432697132,87.85483055,25.52073298
170031,881,0.19669826,3201.0,2071.0,1728.5,1651.5,1478.5,2657.5,-0.068119097,2.030747387,1,-2.052983795,0.23427609,0.442775294,33.70091732,0.28653792,-0.23427609,0.429754606,87.85492038,25.52073298
