Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
75000,11568,0.26032284,2090.5,1575.5,1415.5,1269.5,1146.5,2492.0,-0.07826354,2.006516553,1,-2.996081972,0.3253138,0.539934445,37.69595835,0.36986244,-0.3253138,0.554717394,87.73598343,25.35912606
75001,11569,0.36661905,1790.5,1108.0,1336.0,1185.5,972.5,2855.0,-0.129321796,2.113256327,1,-3.606272588,0.41348282,0.659149434,50.32901696,0.49209127,-0.41348282,0.738040417,87.73607326,25.35912606
75002,11570,0.343894,1602.0,966.0,1323.5,1175.0,984.0,2699.0,-0.118831904,2.084104323,1,-3.778608288,0.3934692,0.634462701,47.04920699,0.46573895,-0.3934692,0.698513571,87.7358936,25.35921589
75003,11571,0.1940578,2088.5,1561.0,1386.0,1251.0,1157.0,2033.0,-0.065985069,2.031220813,2,-1.57963193,0.23854907,0.430376646,27.58246891,0.27560106,-0.23854907,0.413336522,87.73409697,25.36182101
75004,11572,0.1940578,2088.5,1561.0,1386.0,1251.0,1157.0,2033.0,-0.065985069,2.031220813,2,-1.57963193,0.23854907,0.430376646,27.58246891,0.27560106,-0.23854907,0.413336522,87.7341868,25.36182101
75005,11573,0.20103393,2088.5,1561.0,1400.5,1261.5,1144.5,2034.5,-0.075487924,2.029878973,2,-1.514311633,0.23444527,0.435574396,28.62651385,0.28004697,-0.23444527,0.420004364,87.73427663,25.36182101
75006,11574,0.15785114,2125.0,1702.5,1433.0,1319.5,1253.0,2009.0,-0.046818439,2.071994411,2,-1.648145757,0.20750836,0.375857821,23.49959656,0.23211613,-0.20750836,0.348120756,87.73400714,25.36191084
75007,11575,0.19737446,1951.5,1439.0,1389.5,1244.5,1141.5,2007.5,-0.071886906,2.03182824,2,-1.440791351,0.2351112,0.430597574,27.74244819,0.27586803,-0.2351112,0.413736133,87.73409697,25.36191084
75008,11576,0.19737446,1951.5,1439.0,1389.5,1244.5,1141.5,2007.5,-0.071886906,2.03182824,2,-1.440791351,0.2351112,0.430597574,27.74244819,0.27586803,-0.2351112,0.413736133,87.7341868,25.36191084
75009,11577,0.21846898,1951.5,1439.0,1371.0,1208.5,1079.0,1988.5,-0.088934439,2.018595402,2,-1.337091354,0.24400485,0.455650906,29.91220048,0.29648858,-0.24400485,0.444660409,87.73427663,25.36191084
75010,11578,0.23066604,1728.5,1173.5,1380.0,1234.0,1090.0,2102.0,-0.090611889,2.013432257,2,-1.585225265,0.2599618,0.479192245,32.35490787,0.31678063,-0.2599618,0.475096567,87.73436647,25.36191084
75011,11579,0.2086218,2125.0,1702.5,1392.0,1263.0,1130.5,2050.0,-0.08096237,2.024932003,2,-1.452184458,0.238211,0.447584851,29.85072856,0.29011363,-0.238211,0.435101793,87.73400714,25.36200067
75012,11580,0.2163794,1951.5,1439.0,1383.5,1247.0,1107.0,2044.5,-0.086556281,2.0164176,2,-1.405063563,0.2429347,0.458057749,30.6418169,0.29834598,-0.2429347,0.447447723,87.73409697,25.36200067
75013,11581,0.2163794,1951.5,1439.0,1383.5,1247.0,1107.0,2044.5,-0.086556281,2.0164176,2,-1.405063563,0.2429347,0.458057749,30.6418169,0.29834598,-0.2429347,0.447447723,87.7341868,25.36200067
75014,11582,0.20553873,1951.5,1439.0,1394.5,1239.0,1119.0,1996.0,-0.081470368,2.025913591,2,-1.296260059,0.23411044,0.43808662,28.64489682,0.28179988,-0.23411044,0.422631929,87.73427663,25.36200067
75015,11583,0.22928496,1728.5,1173.5,1387.5,1249.5,1091.5,2088.0,-0.094810622,2.015796817,2,-1.461478331,0.25083503,0.474925002,32.43412066,0.31329823,-0.25083503,0.469873453,87.73436647,25.36200067
