Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
120000,14282,0.27011275,2087.5,1387.0,1464.5,1316.0,1132.5,2477.0,-0.102166355,2.007399031,9,-1.969064401,0.30605114,0.54270571,39.46485805,0.37246084,-0.30605114,0.558613877,87.86147808,25.59502365
120001,14283,0.27011275,2087.5,1387.0,1464.5,1316.0,1132.5,2477.0,-0.102166355,2.007399031,9,-1.969064401,0.30605114,0.54270571,39.46485805,0.37246084,-0.30605114,0.558613877,87.86156791,25.59502365
120002,14284,0.24148723,2360.0,1704.5,1475.0,1342.5,1193.5,2432.0,-0.082716889,2.000433785,9,-2.108291236,0.2886242,0.509158345,36.12634113,0.34158456,-0.2886242,0.512306184,87.86165774,25.59502365
120003,14285,0.23181072,2360.0,1704.5,1511.0,1372.5,1236.0,2452.5,-0.076915089,2.00065656,9,-2.093646756,0.28234428,0.495906633,35.05848507,0.32983655,-0.28234428,0.494687746,87.86174757,25.59502365
120004,14286,0.20869921,2480.0,1896.0,1532.0,1400.5,1319.5,2498.5,-0.05277952,2.004392213,9,-2.752339085,0.28156924,0.471639022,32.24246608,0.30879658,-0.28156924,0.463134247,87.8618374,25.59502365
120005,14287,0.14440799,2480.0,1896.0,1554.0,1479.0,1440.0,2298.0,-0.02595145,2.070561265,9,-3.036570617,0.2167438,0.372915919,23.88341966,0.22946627,-0.2167438,0.344153397,87.86192724,25.59502365
120006,14288,0.13834727,1994.5,1434.5,1527.5,1443.0,1328.0,1980.5,-0.056051905,2.127599194,9,-1.146012685,0.15679374,0.329394524,22.23682353,0.19721082,-0.15679374,0.295771501,87.86201707,25.59502365
120007,14289,0.2521058,1822.5,1130.5,1463.5,1307.5,1104.0,2234.5,-0.113063315,2.00185345,9,-1.352727264,0.2613034,0.504932819,36.32455405,0.33804464,-0.2613034,0.50699107,87.86120858,25.59511349
120008,14290,0.3073642,1822.5,1130.5,1445.5,1271.0,1042.0,2488.0,-0.131781298,2.027066019,9,-1.72155412,0.32374862,0.58110973,43.22227953,0.4096299,-0.32374862,0.614357854,87.86129842,25.59511349
120009,14291,0.30866483,2152.0,1305.5,1439.0,1279.5,1044.0,2513.5,-0.131192298,2.029426919,9,-1.829348497,0.3253292,0.584567726,43.77799754,0.4130685,-0.3253292,0.619515682,87.86138825,25.59511349
120010,14292,0.31042013,2152.0,1305.5,1435.0,1269.0,1043.5,2531.0,-0.128780665,2.031518694,9,-1.888138251,0.33210436,0.587652604,43.8081844,0.416134,-0.33210436,0.624113699,87.86147808,25.59511349
120011,14293,0.31042013,2152.0,1305.5,1435.0,1269.0,1043.5,2531.0,-0.128780665,2.031518694,9,-1.888138251,0.33210436,0.587652604,43.8081844,0.416134,-0.33210436,0.624113699,87.86156791,25.59511349
120012,14294,0.3170343,2154.0,1383.5,1454.0,1267.0,1037.0,2545.5,-0.134934589,2.035239945,9,-1.765209557,0.3353454,0.592562944,44.3367597,0.42107433,-0.3353454,0.631523378,87.86165774,25.59511349
120013,14295,0.29903716,2154.0,1383.5,1456.0,1282.0,1068.0,2502.5,-0.123511187,2.021806234,9,-1.785627825,0.32250166,0.573172969,42.39277785,0.40176105,-0.32250166,0.602557223,87.86174757,25.59511349
120014,14296,0.27042827,1918.0,1318.0,1479.0,1336.5,1139.5,2489.5,-0.105309223,2.007192052,9,-1.914468063,0.30135503,0.542223346,39.87780786,0.37200004,-0.30135503,0.557923194,87.8618374,25.59511349
120015,14297,0.1828296,1918.0,1318.0,1509.5,1381.0,1242.0,2086.5,-0.075655397,2.037883943,9,-1.18672669,0.20326918,0.404435127,27.71727967,0.25355837,-0.20326918,0.38028043,87.86192724,25.59511349
120016,14298,0.24499828,1822.5,1130.5,1479.0,1341.5,1131.0,2253.5,-0.109927989,2.005689892,9,-1.387267158,0.25262928,0.49584264,36.12475712,0.33052,-0.25262928,0.495706947,87.86120858,25.59520332
120017,14299,0.26537645,1822.5,1130.5,1472.5,1340.0,1138.5,2445.5,-0.105729131,2.006480889,9,-1.863556003,0.2921621,0.534561401,39.26127984,0.36508608,-0.2921621,0.547552614,87.86129842,25.59520332
120018,14300,0.26385581,2152.0,1305.5,1462.0,1337.5,1146.0,2469.5,-0.100099788,2.006441112,9,-2.05604062,0.29746324,0.536078642,39.21654895,0.36642712,-0.29746324,0.549564589,87.86138825,25.59520332
120019,14301,0.26673162,2152.0,1305.5,1463.5,1327.5,1144.5,2488.0,-0.099175017,2.007366898,9,-2.088948104,0.3042135,0.540095576,39.34491392,0.3701382,-0.3042135,0.555130797,87.86147808,25.59520332
120020,14302,0.26673162,2152.0,1305.5,1463.5,1327.5,1144.5,2488.0,-0.099175017,2.007366898,9,-2.088948104,0.3042135,0.540095576,39.34491392,0.3701382,-0.3042135,0.555130797,87.86156791,25.59520332
120021,14303,0.2684507,2154.0,1383.5,1462.0,1315.5,1140.5,2491.5,-0.098367746,2.00793684,9,-2.086267198,0.30893868,0.542228956,39.28149335,0.3721213,-0.30893868,0.5581051,87.86165774,25.59520332
