Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
150000,1994,0.09681228,3018.0,2200.0,1475.0,1418.0,1530.0,2241.0,0.028053082,2.148628543,1,4.944367177,0.22492485,0.317220752,15.85238874,0.18854415,-0.22492485,0.282778735,87.89507507,25.56501992
150001,1995,0.097280964,3018.0,2200.0,1416.0,1366.0,1494.0,2216.0,0.035701906,2.133663159,1,3.217468806,0.2372976,0.325762716,15.77031737,0.19460917,-0.2372976,0.29187441,87.8951649,25.56501992
150002,1996,0.17701453,2248.0,1505.0,1366.0,1308.0,1246.0,2198.0,-0.035230352,2.0181349,1,-4.175438596,0.25385055,0.433065168,27.66556113,0.27642277,-0.25385055,0.414573958,87.90774132,25.56564874
150003,1997,0.15233415,2583.0,1863.0,1405.0,1381.0,1380.0,2347.0,-0.004688063,2.031703409,1,26.71270718,0.25912017,0.41196373,25.43123495,0.259458,-0.25912017,0.389134809,87.90783115,25.56564874
150004,1998,0.10734301,2583.0,1863.0,1475.0,1448.0,1553.0,2378.0,0.030353292,2.100869848,1,3.250591017,0.2430737,0.346882558,18.56214705,0.20987026,-0.2430737,0.314765357,87.90792098,25.56564874
150005,1999,0.09670015,2820.0,2164.0,1501.0,1473.0,1574.0,2321.0,0.028422084,2.140486413,1,3.672566372,0.2235108,0.321797018,16.84263818,0.19178434,-0.2235108,0.287639584,87.90801081,25.56564874
150006,2000,0.09945543,2820.0,2164.0,1517.0,1488.0,1571.0,2319.0,0.022287295,2.139251559,1,5.074626866,0.21828212,0.322505715,17.39166698,0.19228792,-0.21828212,0.288394808,87.90810064,25.56564874
150007,2001,0.087252125,3154.0,2513.0,1519.0,1489.0,1611.0,2319.0,0.03434992,2.171382581,1,2.98230834,0.21796219,0.305258285,15.2179839,0.18015267,-0.21796219,0.270194632,87.90819047,25.56564874
150008,2002,0.072060004,3154.0,2513.0,1592.0,1590.0,1732.0,2410.0,0.042431538,2.223966555,1,1.964078795,0.205,0.281285858,13.58855695,0.16368903,-0.205,0.245503923,87.9082803,25.56564874
150009,2003,0.06778742,3128.0,2506.0,1532.0,1540.0,1719.0,2406.0,0.056221198,2.214008664,1,1.395207149,0.21946275,0.285493768,12.79336815,0.16654545,-0.21946275,0.249787904,87.90837014,25.56564874
150010,2004,0.09166934,2471.0,1803.0,1447.0,1398.0,1412.0,1947.0,-0.003704357,2.240122211,1,-3.092485549,0.16412556,0.274730546,14.99280521,0.1592736,-0.16412556,0.238874833,87.90774132,25.56573858
150011,2005,0.0811053,2913.0,2221.0,1481.0,1477.0,1538.0,2138.0,0.01955585,2.225634824,1,5.780346821,0.18284924,0.280588901,14.69522899,0.1632209,-0.18284924,0.244798042,87.90783115,25.56573858
150012,2006,0.052343108,2913.0,2221.0,1526.0,1540.0,1729.0,2314.0,0.060085837,2.300847979,1,1.175643087,0.20083031,0.252768177,10.06000363,0.14469454,-0.20083031,0.217014962,87.90792098,25.56573858
150013,2007,0.04914908,3140.0,2572.0,1547.0,1531.0,1746.0,2306.0,0.063013699,2.332078525,1,1.185938162,0.20198071,0.242804889,8.668404977,0.13820335,-0.20198071,0.207279457,87.90801081,25.56573858
150014,2008,0.054346338,3140.0,2572.0,1551.0,1542.0,1727.0,2300.0,0.055139759,2.312087982,1,1.390101892,0.19729307,0.249089773,9.887120161,0.14228955,-0.19729307,0.213407821,87.90810064,25.56573858
150015,2009,0.05133132,3210.0,2548.0,1538.0,1538.0,1728.0,2292.0,0.058175138,2.321684448,1,1.252220249,0.19686684,0.246032831,9.521119153,0.1402985,-0.19686684,0.210421589,87.90819047,25.56573858
