Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
15000,15000,0.14673634,4509.5,3070.5,3456.0,3405.0,3470.5,4377.5,-0.034311578,4.300593312,15,-3.678833053,0.19399846,0.311627289,21.1792428,0.22005175,-0.19399846,0.330036152,87.49083319,25.62996812
15001,15001,0.16124448,4123.0,2770.0,3394.5,3337.0,3345.0,4363.0,-0.043234864,3.735928942,15,-3.380126216,0.20323072,0.328985462,24.02527108,0.2350125,-0.20323072,0.352476319,87.49092302,25.62996812
15002,15002,0.16655621,4123.0,2770.0,3348.0,3253.5,3228.0,4303.0,-0.044136196,3.806828127,15,-5.014724381,0.20795843,0.332136731,25.22519245,0.23882423,-0.20795843,0.358195284,87.49101285,25.62996812
15003,15003,0.14136367,3625.0,2397.0,3299.0,3183.5,3150.0,3968.5,-0.043600667,4.78800066,15,-2.196002866,0.17126429,0.292713301,21.16077852,0.20264861,-0.17126429,0.303934455,87.49110269,25.62996812
15004,15004,0.17320958,4451.0,3001.0,3474.0,3469.0,3533.5,4681.0,-0.040448542,4.15023924,15,-4.02514668,0.2242404,0.344460876,25.10680883,0.25424835,-0.2242404,0.381329008,87.49074336,25.63005795
15005,15005,0.17313646,4451.0,3001.0,3442.0,3412.5,3471.0,4585.0,-0.042402989,5.473517178,15,-5.751307355,0.22068593,0.338115312,24.59197955,0.25136596,-0.22068593,0.377005828,87.49083319,25.63005795
15006,15006,0.16994967,4120.0,2685.5,3385.0,3344.0,3374.0,4468.0,-0.041865886,5.306839212,15,-6.852088965,0.21542846,0.334108202,24.65367131,0.24660604,-0.21542846,0.369866773,87.49092302,25.63005795
15007,15007,0.17267317,4120.0,2685.5,3337.0,3277.0,3252.5,4372.5,-0.045435488,4.366520959,15,-8.344605973,0.21315752,0.337336339,25.96200611,0.24742049,-0.21315752,0.371088897,87.49101285,25.63005795
15008,15008,0.1559434,3666.5,2290.0,3297.0,3210.5,3172.5,4123.0,-0.044208324,4.770272439,15,-4.339480575,0.19043551,0.31416101,23.50685731,0.2241131,-0.19043551,0.336129296,87.49110269,25.63005795
15009,15009,0.16961011,4451.0,3001.0,3419.5,3437.0,3522.0,4630.5,-0.03635056,13.26952163,15,-9.899170907,0.22247851,0.334307637,23.91983196,0.2505904,-0.22247851,0.375843056,87.49074336,25.63014778
