Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
115000,9282,0.34889662,1520.0,749.0,1427.5,1257.5,962.5,2561.5,-0.164834578,2.065049487,4,-1.748985477,0.34080854,0.62357585,48.22847491,0.4532299,-0.34080854,0.679748411,87.67956923,25.38338057
115001,9283,0.34704888,1520.0,749.0,1423.0,1257.0,955.0,2518.0,-0.167712298,2.061184627,4,-1.661349743,0.33348894,0.620200096,47.93265218,0.44963923,-0.33348894,0.674361738,87.67965906,25.38338057
115002,9284,0.32268906,1496.5,781.5,1840.0,1422.0,1091.0,2529.5,-0.192522088,2.029607709,2,-0.778136174,0.2701428,0.553714278,44.7102166,0.38568398,-0.2701428,0.578445667,87.73194101,25.38338057
115003,9285,0.32268906,1496.5,781.5,1840.0,1422.0,1091.0,2529.5,-0.192522088,2.029607709,2,-0.778136174,0.2701428,0.553714278,44.7102166,0.38568398,-0.2701428,0.578445667,87.73203085,25.38338057
115004,9286,0.30859375,1638.5,900.0,1813.0,1458.5,1143.5,2564.5,-0.174639502,2.01243495,2,-0.862662895,0.26932323,0.548329184,43.91974182,0.37824103,-0.26932323,0.567283049,87.73212068,25.38338057
115005,9287,0.28465864,1638.5,900.0,1801.0,1503.0,1220.0,2587.5,-0.151735767,2.003116365,2,-0.943961831,0.26117092,0.527197996,41.74352392,0.3580239,-0.26117092,0.536962351,87.73221051,25.38338057
115006,9288,0.29837945,1723.5,970.0,1806.5,1530.0,1209.5,2647.5,-0.161926099,2.009237351,2,-0.990406535,0.26703367,0.545756387,44.1486527,0.3754552,-0.26703367,0.563106188,87.73230034,25.38338057
115007,9289,0.3253686,1496.5,781.5,1817.5,1498.0,1079.5,2539.0,-0.204044664,2.037221011,2,-0.794400297,0.24934804,0.557175728,47.2483318,0.38992527,-0.24934804,0.584807074,87.73194101,25.3834704
115008,9290,0.3253686,1496.5,781.5,1817.5,1498.0,1079.5,2539.0,-0.204044664,2.037221011,2,-0.794400297,0.24934804,0.557175728,47.2483318,0.38992527,-0.24934804,0.584807074,87.73203085,25.3834704
115009,9291,0.32110164,1638.5,900.0,1816.0,1579.5,1117.0,2599.0,-0.200263827,2.021810019,2,-0.859732907,0.24218489,0.561352786,48.68215674,0.39126748,-0.24218489,0.586820536,87.73212068,25.3834704
115010,9292,0.2922576,1638.5,900.0,1830.0,1592.5,1201.5,2594.0,-0.172100618,2.006089431,2,-0.883167661,0.2375398,0.53164755,44.81964473,0.36243656,-0.2375398,0.543580762,87.73221051,25.3834704
115011,9293,0.2951496,1723.5,970.0,1804.5,1602.5,1212.5,2639.5,-0.168424554,2.007382946,2,-0.988798873,0.24682683,0.542091765,45.58917738,0.3719122,-0.24682683,0.55779252,87.73230034,25.3834704
115012,9294,0.3250503,1425.5,840.0,1795.5,1541.0,1073.0,2514.5,-0.209259344,2.033130994,2,-0.803885762,0.23602384,0.558554987,48.38426863,0.39052865,-0.23602384,0.585711174,87.73194101,25.38356024
115013,9295,0.3250503,1425.5,840.0,1795.5,1541.0,1073.0,2514.5,-0.209259344,2.033130994,2,-0.803885762,0.23602384,0.558554987,48.38426863,0.39052865,-0.23602384,0.585711174,87.73203085,25.38356024
115014,9296,0.31567186,1555.5,906.5,1794.0,1624.0,1125.5,2586.5,-0.199558622,2.018404396,2,-0.883274659,0.23056328,0.557457814,49.21102684,0.3872782,-0.23056328,0.580837431,87.73212068,25.38356024
115015,9297,0.28802788,1555.5,906.5,1806.5,1659.5,1205.5,2592.0,-0.175044576,2.006025635,2,-0.924313448,0.22089691,0.529403148,46.2372369,0.36043218,-0.22089691,0.540575039,87.73221051,25.38356024
115016,9298,0.27433205,1680.5,1000.5,1759.0,1648.0,1257.5,2629.5,-0.151964493,2.002879744,2,-1.128540211,0.23382126,0.524040642,44.29992751,0.35518143,-0.23382126,0.532700154,87.73230034,25.38356024
115017,9299,0.2393045,1885.0,1177.5,1511.5,1361.5,1187.0,2357.5,-0.095099972,2.001322961,4,-1.595675924,0.26741663,0.495709022,35.60143967,0.32976046,-0.26741663,0.494570984,87.68262351,25.38365007
115018,9300,0.2812615,1885.0,1177.5,1463.5,1301.0,1075.0,2371.0,-0.125012566,2.010301232,4,-1.547940689,0.2905245,0.545400247,40.24305349,0.37530866,-0.2905245,0.56288136,87.68271334,25.38365007
115019,9301,0.2364931,1925.5,1336.5,1484.0,1314.5,1154.0,2248.0,-0.096974756,2.010639724,4,-1.3916595,0.26179674,0.485178975,33.96757777,0.32172677,-0.26179674,0.482519216,87.68280317,25.38365007
115020,9302,0.33139068,1425.5,840.0,1774.0,1563.0,1046.0,2487.5,-0.220295295,2.037207558,2,-0.799841711,0.22659893,0.564887473,49.90600081,0.39678234,-0.22659893,0.595089246,87.73194101,25.38365007
115021,9303,0.33139068,1425.5,840.0,1774.0,1563.0,1046.0,2487.5,-0.220295295,2.037207558,2,-0.799841711,0.22659893,0.564887473,49.90600081,0.39678234,-0.22659893,0.595089246,87.73203085,25.38365007
115022,9304,0.30669856,1555.5,906.5,1777.5,1609.5,1132.5,2538.5,-0.192874823,2.013502637,2,-0.872746477,0.22569336,0.546812356,47.7603989,0.37706068,-0.22569336,0.565512445,87.73212068,25.38365007
115023,9305,0.25535673,1555.5,906.5,1742.5,1650.5,1282.5,2560.0,-0.141280536,2.000003848,2,-1.152428614,0.21790233,0.498968158,41.82165945,0.33246228,-0.21790233,0.498625299,87.73221051,25.38365007
115024,9306,0.23142636,1680.5,1000.5,1657.5,1645.5,1355.5,2590.5,-0.109401486,2.006686295,2,-3.876634088,0.2259594,0.484385696,38.91680351,0.32045504,-0.2259594,0.480616827,87.73230034,25.38365007
115025,9307,0.24291997,1885.0,1177.5,1502.0,1360.5,1167.5,2332.5,-0.101541563,2.001209543,4,-1.570664397,0.2625705,0.498552535,36.17945579,0.33227295,-0.2625705,0.498338249,87.68262351,25.3837399
115026,9308,0.30647412,1885.0,1177.5,1443.5,1271.0,1008.0,2356.5,-0.147634632,2.022796295,4,-1.433340089,0.29819974,0.570832958,42.78354737,0.39984095,-0.29819974,0.599672369,87.68271334,25.3837399
115027,9309,0.22835463,971.0,526.5,1473.5,1320.0,1098.0,2022.5,-0.119843685,2.019258015,2,-0.974918715,0.20904432,0.453954211,32.86705256,0.2950634,-0.20904432,0.442524454,87.70526105,25.3837399
115028,9310,0.20980069,971.0,526.5,1475.5,1328.0,1126.5,1972.5,-0.10934492,2.044145005,2,-0.917496497,0.19395408,0.424300918,30.33732624,0.27169782,-0.19395408,0.407481276,87.70535088,25.3837399
115029,9311,0.30623668,1518.5,892.5,1740.5,1572.0,1103.5,2480.5,-0.19346898,2.018743841,2,-0.86442492,0.2241496,0.544392544,47.19400152,0.37572324,-0.2241496,0.563505561,87.73194101,25.3837399
115030,9312,0.30623668,1518.5,892.5,1740.5,1572.0,1103.5,2480.5,-0.19346898,2.018743841,2,-0.86442492,0.2241496,0.544392544,47.19400152,0.37572324,-0.2241496,0.563505561,87.73203085,25.3837399
115031,9313,0.28974763,1692.5,956.5,1744.5,1592.5,1184.5,2574.0,-0.166523838,2.006254203,2,-1.020553582,0.23840418,0.537561759,45.47213694,0.36771497,-0.23840418,0.55149704,87.73212068,25.3837399
115032,9314,0.23932195,1692.5,956.5,1652.5,1621.0,1347.0,2647.0,-0.105624099,2.009575952,2,-2.92925932,0.24619362,0.498789094,39.66946591,0.33370635,-0.24619362,0.500492923,87.73221051,25.3837399
115033,9315,0.20146711,1839.0,969.0,1556.5,1630.5,1433.0,2597.0,-0.07148139,2.033896888,2,0.255595801,0.23457238,0.461350255,34.94571128,0.30354363,-0.23457238,0.455253428,87.73230034,25.3837399
115034,9316,0.22348489,1759.5,1092.5,1518.5,1378.5,1207.5,2288.0,-0.090790603,2.005197572,4,-1.528683107,0.24721281,0.471011151,33.64187117,0.30835396,-0.24721281,0.462464815,87.68262351,25.38382973
115035,9317,0.29364932,1759.5,1092.5,1449.5,1274.5,1019.5,2286.5,-0.143810323,2.013200847,4,-1.32288407,0.2832627,0.552885065,41.04098205,0.38240898,-0.2832627,0.573526783,87.68271334,25.38382973
115036,9318,0.2421728,1812.0,1247.5,1483.0,1307.5,1109.0,2147.5,-0.115179634,2.012945857,4,-1.116026785,0.2427035,0.481525336,34.33911297,0.3187938,-0.2427035,0.478117302,87.68280317,25.38382973
115037,9319,0.24423243,971.0,526.5,1461.0,1291.5,1049.5,1999.0,-0.134805564,2.021925889,2,-0.92292194,0.21225227,0.468617374,34.29008366,0.3084944,-0.21225227,0.4626662,87.70526105,25.38382973
115038,9320,0.21881878,971.0,526.5,1456.5,1291.0,1078.5,1911.0,-0.120600823,2.041408293,2,-0.840996736,0.19145456,0.429660689,30.74881954,0.27614763,-0.19145456,0.414152653,87.70535088,25.38382973
115039,9321,0.23399371,993.0,560.5,1445.0,1286.0,1040.5,1913.5,-0.13521514,2.03688401,2,-0.847091026,0.19244385,0.447512812,32.86156387,0.29153326,-0.19244385,0.437226637,87.70544071,25.38382973
115040,9322,0.22167806,993.0,560.5,1447.0,1282.5,1051.5,1860.5,-0.130065291,2.065839393,2,-0.770808379,0.17960474,0.423198797,30.86145357,0.27310577,-0.17960474,0.409589293,87.70553054,25.38382973
115041,9323,0.23364103,1240.5,684.0,1445.0,1279.5,1051.5,1946.5,-0.129151719,2.04443615,2,-0.893944064,0.20268334,0.449284637,32.57164192,0.29404607,-0.20268334,0.440996412,87.70562038,25.38382973
115042,9324,0.255439,1692.5,956.5,1662.0,1572.5,1256.0,2526.0,-0.129589373,2.002900661,2,-1.360265442,0.23738386,0.50706329,40.79319814,0.34009147,-0.23738386,0.51006652,87.73212068,25.38382973
115043,9325,0.22757523,1692.5,956.5,1589.0,1604.0,1372.0,2669.0,-0.085569252,2.018088831,2,8.622983424,0.2558077,0.494254618,38.40075559,0.33088607,-0.2558077,0.496264013,87.73221051,25.38382973
115044,9326,0.19498388,1839.0,969.0,1550.5,1608.0,1434.0,2572.5,-0.063627697,2.037798397,2,0.259232251,0.23641373,0.453711897,33.75320314,0.29718605,-0.23641373,0.44571891,87.73230034,25.38382973
115045,9327,0.21569051,1759.5,1092.5,1554.5,1403.5,1233.0,2269.5,-0.090731547,2.010146755,4,-1.343127775,0.23511328,0.455401867,32.56950104,0.29516378,-0.23511328,0.442682549,87.68262351,25.38391956
115046,9328,0.28461003,1759.5,1092.5,1460.0,1290.5,1033.0,2253.0,-0.142101895,2.010482533,4,-1.256093709,0.27026036,0.5392602,40.11676269,0.36988556,-0.27026036,0.55474406,87.68271334,25.38391956
115047,9329,0.2536296,1812.0,1247.5,1473.5,1301.0,1091.0,2186.0,-0.120572898,2.013034277,4,-1.175047583,0.25327563,0.498468446,35.8983931,0.33393157,-0.25327563,0.500820963,87.68280317,25.38391956
115048,9330,0.23593636,981.5,521.5,1451.5,1285.0,1046.0,1936.5,-0.133681114,2.033132644,2,-0.86079754,0.19920145,0.452239348,33.00397232,0.2952959,-0.19920145,0.442870207,87.70526105,25.38391956
115049,9331,0.21662508,981.5,521.5,1463.0,1286.5,1072.5,1871.0,-0.123721944,2.049523253,2,-0.763991179,0.18277916,0.420324975,30.11286391,0.2687706,-0.18277916,0.403087949,87.70535088,25.38391956
115050,9332,0.23578955,994.5,538.0,1449.0,1284.0,1036.5,1911.5,-0.137418568,2.035291461,2,-0.819393962,0.19238587,0.448867741,33.01289255,0.29254928,-0.19238587,0.43875024,87.70544071,25.38391956
115051,9333,0.23469056,994.5,538.0,1446.0,1278.5,1028.5,1881.5,-0.139689314,2.046376652,2,-0.799767154,0.18585266,0.442061994,32.64751665,0.28780028,-0.18585266,0.431627237,87.70553054,25.38391956
115052,9334,0.23773755,1077.0,590.0,1457.5,1276.5,1030.0,1892.5,-0.140910386,2.044026628,2,-0.782010257,0.19053304,0.445850511,32.72166738,0.2909152,-0.19053304,0.436298968,87.70562038,25.38391956
115053,9335,0.2034189,2109.0,1379.0,1597.5,1521.5,1335.5,2366.5,-0.087777811,2.017451806,2,-4.370068387,0.21577844,0.441315166,32.51871465,0.28361827,-0.21577844,0.425366084,87.73212068,25.38391956
115054,9336,0.19881317,2109.0,1379.0,1608.5,1585.5,1408.0,2506.0,-0.074315475,2.027026384,2,4.257533434,0.22847357,0.447218257,33.16771621,0.29003975,-0.22847357,0.43500013,87.73221051,25.38391956
115055,9337,0.18579786,2148.5,1302.5,1632.5,1595.0,1439.5,2452.0,-0.068911925,2.052684237,2,6.683361245,0.21670711,0.423028589,30.76285267,0.27150598,-0.21670711,0.407202702,87.73230034,25.38391956
