Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
95000,10424,0.49692392,1385.2,610.0,1129.0,956.8,692.4,2996.6,-0.202223697,2.374326966,9,-4.448266641,0.51510197,0.767912804,60.17305989,0.62370944,-0.51510197,0.935437341,87.35078584,25.54723328
95001,10425,0.514273,1372.4,602.8,1137.0,967.6,698.6,3225.8,-0.202218638,2.42973418,1,-5.89145223,0.53755045,0.782278077,63.08824023,0.6428873,-0.53755045,0.964208056,87.34476713,25.54732311
95002,10426,0.52512527,1439.8,674.2,1138.4,976.0,704.8,3396.0,-0.200182345,2.467962412,1,-7.708611458,0.55267584,0.791401552,65.12111188,0.6552485,-0.55267584,0.982752909,87.34485696,25.54732311
95003,10427,0.5401792,1439.8,674.2,1132.8,962.2,688.4,3492.0,-0.207025686,2.515515229,1,-9.186141344,0.5664201,0.801245548,66.66410829,0.6689798,-0.5664201,1.003349597,87.34494679,25.54732311
95004,10428,0.50451314,1897.0,1231.2,1150.6,983.2,740.8,3358.4,-0.18085816,2.416251528,1,-8.346551815,0.54582685,0.777627221,63.13799182,0.6369761,-0.54582685,0.95534764,87.34503662,25.54732311
95005,10429,0.48927924,1440.6,656.6,1137.0,972.4,724.4,3094.0,-0.185754357,2.36375266,9,-5.61245044,0.5209974,0.76472701,60.29174856,0.6195751,-0.5209974,0.929240896,87.35033668,25.54732311
95006,10430,0.5041825,1443.2,643.0,1128.4,970.4,694.8,3094.4,-0.20359186,2.399156138,9,-5.232745818,0.5212673,0.773959618,61.64624952,0.6319043,-0.5212673,0.947731315,87.35042651,25.54732311
95007,10431,0.5107897,1443.2,643.0,1124.6,968.0,682.4,3097.8,-0.210860953,2.415802934,9,-5.033007016,0.52253526,0.778204957,62.21981163,0.63756824,-0.52253526,0.956225846,87.35051634,25.54732311
95008,10432,0.5029382,1411.8,622.4,1126.4,972.0,689.4,3048.4,-0.207165708,2.392692516,9,-4.750414334,0.5156053,0.772710698,61.36633047,0.63010323,-0.5156053,0.945028408,87.35060618,25.54732311
95009,10433,0.49080446,1411.8,622.4,1132.0,980.6,704.0,2996.4,-0.200308989,2.360752057,9,-4.544361533,0.50603354,0.763930003,60.19916556,0.6185197,-0.50603354,0.92765418,87.35069601,25.54732311
95010,10434,0.49080446,1411.8,622.4,1132.0,980.6,704.0,2996.4,-0.200308989,2.360752057,9,-4.544361533,0.50603354,0.763930003,60.19916556,0.6185197,-0.50603354,0.92765418,87.35078584,25.54732311
95011,10435,0.5027963,1399.6,625.8,1141.4,967.6,703.0,3113.4,-0.200286281,2.3945051,1,-5.034505724,0.5249899,0.773061089,61.44954608,0.63061255,-0.5249899,0.94579492,87.34476713,25.54741294
95012,10436,0.5095191,1380.4,611.4,1139.2,974.4,707.6,3220.6,-0.198164936,2.417486268,1,-5.974700228,0.534834,0.779418418,62.78447631,0.6389834,-0.534834,0.958353179,87.34485696,25.54741294
95013,10437,0.53190434,1380.4,611.4,1126.8,970.2,693.8,3424.0,-0.203660825,2.489629929,1,-8.525603374,0.5572125,0.796105093,65.81850605,0.6617454,-0.5572125,0.992497522,87.34494679,25.54741294
95014,10438,0.53002036,1567.8,844.8,1138.4,967.0,693.2,3385.2,-0.206239088,2.481550808,1,-6.884819297,0.55446935,0.79374437,65.27866239,0.6586631,-0.55446935,0.987873447,87.34503662,25.54741294
95015,10439,0.46441057,1567.8,844.8,1185.4,1038.6,805.8,3226.4,-0.15987661,2.31194749,1,-9.472868742,0.51177895,0.748944349,59.81593123,0.5991913,-0.51177895,0.898675493,87.34512645,25.54741294
95016,10440,0.46441057,1567.8,844.8,1185.4,1038.6,805.8,3226.4,-0.15987661,2.31194749,1,-9.472868742,0.51177895,0.748944349,59.81593123,0.5991913,-0.51177895,0.898675493,87.34521628,25.54741294
95017,10441,0.519405,1443.2,643.0,1124.2,970.8,681.2,3192.0,-0.212128185,2.442801466,9,-5.635039465,0.5323121,0.785195046,63.54072664,0.6468918,-0.5323121,0.970212292,87.35051634,25.54741294
95018,10442,0.51591927,1411.8,622.4,1130.4,986.2,687.6,3185.6,-0.212441655,2.432856055,9,-5.525351977,0.52602494,0.782721095,63.53355814,0.64356,-0.52602494,0.965215302,87.35060618,25.54741294
95019,10443,0.5089864,1411.8,622.4,1137.4,1002.8,700.8,3180.0,-0.208690341,2.415341694,9,-5.558181102,0.519394,0.778048609,63.23485893,0.637366,-0.519394,0.955925837,87.35069601,25.54741294
95020,10444,0.5089864,1411.8,622.4,1137.4,1002.8,700.8,3180.0,-0.208690341,2.415341694,9,-5.558181102,0.519394,0.778048609,63.23485893,0.637366,-0.519394,0.955925837,87.35078584,25.54741294
95021,10445,0.49396375,1380.4,611.4,1142.6,973.2,713.4,3073.4,-0.194745158,2.370885303,1,-4.913921553,0.5183163,0.766970767,60.59057363,0.62246704,-0.5183163,0.933577316,87.34485696,25.54750278
95022,10446,0.5197843,1380.4,611.4,1137.6,971.6,700.4,3304.6,-0.20185348,2.448390881,1,-6.706426038,0.54442453,0.78681771,64.08824216,0.64901394,-0.54442453,0.973399303,87.34494679,25.54750278
