Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
60000,17712,0.35047248,1673.2,855.6,1645.4,1448.0,1128.8,2973.0,-0.161826519,2.115874567,9,-2.156457396,0.34518254,0.612993827,50.82221476,0.4508013,-0.34518254,0.676119328,87.3312924,25.57238611
60001,17713,0.35893247,1552.0,761.2,1651.4,1461.0,1120.4,3032.0,-0.167674799,2.120764796,9,-2.21809976,0.34947503,0.623577647,52.42424636,0.46094015,-0.34947503,0.691326864,87.33111273,25.57247594
60002,17714,0.3581371,1638.8,833.4,1641.0,1441.4,1107.2,2973.4,-0.169945863,2.129106333,9,-2.068353025,0.34592322,0.617937379,51.6112478,0.4569857,-0.34592322,0.6853946,87.33120257,25.57247594
60003,17715,0.34809777,1638.8,833.4,1650.4,1449.2,1125.8,2930.4,-0.163757035,2.102312112,9,-1.955985075,0.33971423,0.611616018,50.4940908,0.44778848,-0.33971423,0.671599304,87.3312924,25.57247594
60004,17716,0.35829744,1552.0,761.2,1662.2,1467.2,1116.6,2999.4,-0.172389504,2.120875455,9,-1.978758739,0.3425651,0.619787911,52.25535459,0.45759752,-0.3425651,0.686312862,87.33111273,25.57256577
60005,17717,0.35554174,1638.8,833.4,1650.6,1455.2,1104.4,2923.6,-0.174180263,2.120832708,9,-1.95345457,0.33486116,0.613389958,51.41627405,0.4518401,-0.33486116,0.677675965,87.33120257,25.57256577
60006,17718,0.34222132,1638.8,833.4,1651.0,1447.4,1127.4,2881.4,-0.161829964,2.093644545,9,-1.891397785,0.33291778,0.604210838,49.63549374,0.4399857,-0.33291778,0.659895701,87.3312924,25.57256577
60007,17719,0.3598243,1629.8,838.8,1659.4,1462.2,1116.4,3024.4,-0.170423353,2.119848714,9,-2.081885785,0.34763286,0.623335915,52.5279317,0.46062258,-0.34763286,0.690850434,87.33111273,25.5726556
60008,17720,0.34544796,1726.2,889.2,1650.4,1455.6,1117.0,2875.6,-0.167884899,2.102065049,9,-1.850384259,0.32826093,0.604614463,50.18010496,0.4414713,-0.32826093,0.662123837,87.33120257,25.5726556
60009,17721,0.35368678,1629.8,838.8,1654.6,1466.0,1125.2,3001.8,-0.16578541,2.109394478,9,-2.130862005,0.3436225,0.618610884,51.91472875,0.4550023,-0.3436225,0.682420703,87.33111273,25.57274543
60010,17722,0.34109455,1726.2,889.2,1652.6,1456.0,1126.6,2866.8,-0.164688461,2.098001262,9,-1.78033535,0.32664445,0.600308021,49.58193623,0.43708208,-0.32664445,0.655540747,87.33120257,25.57274543
60011,17723,0.32913634,1814.2,988.4,1663.2,1474.6,1149.0,2831.4,-0.158011832,2.069219289,9,-1.683529322,0.3172944,0.592315341,48.60440778,0.42592824,-0.3172944,0.638811383,87.33111273,25.57283527
60012,17724,0.3338134,1819.4,957.4,1657.2,1467.8,1141.0,2847.2,-0.160286117,2.079611733,9,-1.747946064,0.32144222,0.596158549,49.0205146,0.4308293,-0.32144222,0.646162254,87.33120257,25.57283527
60013,17725,0.3198008,1833.2,1041.0,1803.0,1592.8,1321.6,3152.0,-0.140601336,2.088400016,9,-7.686047168,0.3320085,0.582717279,48.30475707,0.4198991,-0.3320085,0.629775551,87.33048391,25.57535055
60014,17726,0.33507654,1716.8,891.6,1760.6,1551.4,1257.8,3171.2,-0.148434986,2.095593551,9,-3.540257065,0.34453598,0.602070611,50.41649776,0.43809652,-0.34453598,0.657069061,87.33057375,25.57535055
