Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
100000,15424,0.28091997,1754.5,1087.0,1277.0,1177.5,972.5,2188.5,-0.115846684,2.014042089,36,-1.956456386,0.30020112,0.554984059,39.08835636,0.384406,-0.30020112,0.576517862,87.83587609,25.75294748
100001,15425,0.26740605,1754.5,1087.0,1328.0,1266.0,1096.0,2467.5,-0.084024979,2.017015133,36,-3.776123266,0.32142505,0.553956728,39.74128651,0.38395256,-0.32142505,0.575848174,87.83596592,25.75294748
100002,15426,0.3437632,1695.5,953.5,1295.5,1218.5,974.0,2696.5,-0.126805573,2.083039129,36,-3.693139035,0.37718913,0.637748841,48.63934696,0.4685523,-0.37718913,0.702732745,87.83605576,25.75294748
100003,15427,0.46246982,1836.0,914.0,1209.0,1042.5,744.5,2841.5,-0.203944703,2.274287906,9,-2.994573272,0.46317348,0.737987835,57.7751368,0.58481944,-0.46317348,0.877106827,87.83677441,25.75294748
100004,15428,0.5063649,1648.5,771.5,1179.0,1008.0,708.5,3146.5,-0.21363842,2.394015283,9,-4.229046454,0.51458615,0.77464422,62.66523497,0.63225156,-0.51458615,0.948254311,87.83686424,25.75294748
100005,15429,0.53410405,1648.5,771.5,1156.0,995.5,693.5,3416.5,-0.216149858,2.48720421,9,-6.466063882,0.5481058,0.796271412,66.36450949,0.66178095,-0.5481058,0.992550615,87.83695407,25.75294748
100006,15430,0.52641255,1577.5,673.5,1159.5,988.0,709.5,3419.0,-0.204411796,2.467320524,9,-6.847979608,0.5510324,0.791728637,65.49215609,0.65556324,-0.5510324,0.98322579,87.8370439,25.75294748
100007,15431,0.5367916,1577.5,673.5,1172.0,994.0,710.5,3553.5,-0.207791181,2.501673704,9,-7.436722157,0.5619085,0.798884698,67.16841084,0.6655257,-0.5619085,0.998171385,87.83713373,25.75294748
100008,15432,0.5372545,1582.5,668.0,1168.5,990.0,718.0,3615.0,-0.201052952,2.507490873,9,-8.889277232,0.56889385,0.800109183,67.46672546,0.6672256,-0.56889385,1.000722834,87.83722357,25.75294748
100009,15433,0.5409609,1582.5,668.0,1163.0,996.0,709.5,3610.0,-0.206888177,2.517272995,9,-9.297038419,0.5665878,0.802416264,67.93684231,0.67036647,-0.5665878,1.005433257,87.8373134,25.75294748
100010,15434,0.53138655,1596.5,694.5,1169.5,993.0,711.0,3486.0,-0.206701982,2.483123145,9,-7.288963695,0.5555046,0.794919323,66.33348265,0.66003495,-0.5555046,0.989934413,87.83740323,25.75294748
100011,15435,0.45489034,1754.5,840.5,1191.5,1053.5,748.0,2801.0,-0.200252468,2.260363113,9,-3.124677705,0.45338738,0.732931664,57.32660494,0.57849187,-0.45338738,0.867615534,87.83677441,25.75303731
100012,15436,0.49218163,1586.0,735.0,1172.0,1008.5,715.5,3034.0,-0.207504838,2.3556561,9,-3.976583117,0.50100076,0.763982507,60.88928622,0.6181825,-0.50100076,0.927150065,87.83686424,25.75303731
100013,15437,0.53353006,1586.0,735.0,1144.5,983.5,685.5,3367.0,-0.216422753,2.484203577,9,-6.156340328,0.5473832,0.795843602,65.85948626,0.6611314,-0.5473832,0.991574692,87.83695407,25.75303731
100014,15438,0.53738296,1555.0,666.0,1152.5,973.5,687.5,3420.5,-0.214547817,2.495862751,9,-6.456946842,0.55640817,0.798510649,66.18605757,0.66478336,-0.55640817,0.99705363,87.8370439,25.75303731
100015,15439,0.5367195,1555.0,666.0,1157.0,989.0,703.5,3517.0,-0.208077903,2.500970903,9,-7.650794513,0.56046844,0.799168124,66.9554111,0.6658067,-0.56046844,0.998591686,87.83713373,25.75303731
100016,15440,0.5335178,1576.5,692.0,1159.5,993.5,724.0,3610.5,-0.195844932,2.498583239,9,-9.86983574,0.5675871,0.79849258,67.25154123,0.66491276,-0.5675871,0.997254029,87.83722357,25.75303731
100017,15441,0.5431291,1576.5,692.0,1154.5,989.0,708.5,3640.0,-0.204079215,2.526193878,9,-9.933436178,0.5718912,0.804546251,68.19310982,0.673263,-0.5718912,1.009778289,87.8373134,25.75303731
