Unnamed: 0,system:index,ARVI,B11,B12,B2,B3,B4,B8,CARI,CVI,DN,EVI,GNDVI,MSAVI,MTVI2,NDVI,NDWI,SAVI,Longitude,Latitude
20000,20000,0.15347858,2636.5,1728.5,1937.0,1776.5,1655.0,2535.5,-0.048819728,2.126766969,1,-10.48480814,0.19098437,0.356939755,25.70970524,0.2202723,-0.19098437,0.330366013,87.32913644,25.60230001
20001,20001,0.15196225,2636.5,1728.5,1966.0,1810.0,1702.5,2600.0,-0.045117183,2.135097637,1,-5.363378278,0.19503048,0.3567553,25.51444166,0.22071956,-0.19503048,0.331037343,87.32922627,25.60230001
20002,20002,0.1439424,2708.5,1791.5,1968.5,1867.5,1755.5,2666.5,-0.037634695,2.131750637,1,-36.13426186,0.19228052,0.353718942,25.62918231,0.21787477,-0.19228052,0.326771616,87.3293161,25.60230001
20003,20003,0.14082927,2708.5,1791.5,2003.5,1878.5,1781.0,2669.5,-0.034583268,2.143566684,1,-11.47440749,0.1933108,0.345697747,24.60632834,0.21186352,-0.1933108,0.317755829,87.32940594,25.60230001
20004,20004,0.2113735,2319.0,1362.0,1946.5,1799.5,1570.0,2677.0,-0.092005913,2.128335439,1,-2.239805106,0.21500443,0.428762353,33.83956955,0.28468862,-0.21500443,0.426976236,87.32859745,25.60238984
20005,20005,0.17256057,2442.5,1502.5,1939.5,1798.5,1618.5,2528.5,-0.070927228,2.137005211,1,-1.767966082,0.18689111,0.376417134,28.38470176,0.23801276,-0.18689111,0.356970543,87.32868728,25.60238984
20006,20006,0.15598439,2442.5,1502.5,1906.0,1751.0,1619.5,2470.5,-0.055184045,2.136855498,1,-2.516148101,0.18577373,0.35608595,25.64870017,0.22027268,-0.18577373,0.330364909,87.32877711,25.60238984
20007,20007,0.17856213,2555.0,1613.5,1868.0,1734.0,1550.0,2494.0,-0.071507621,2.110533176,1,-2.514718348,0.19493349,0.38977361,29.40310701,0.24763405,-0.19493349,0.371401075,87.32886695,25.60238984
20008,20008,0.17395552,2555.0,1613.5,1888.5,1743.0,1570.0,2502.0,-0.067474988,2.114351624,1,-3.128212292,0.19369423,0.382804512,28.7072985,0.24179693,-0.19369423,0.362647197,87.32895678,25.60238984
20009,20009,0.16119543,2636.5,1728.5,1930.5,1764.5,1634.0,2540.0,-0.053437935,2.122544946,1,-5.386859756,0.19630277,0.366983252,26.61317597,0.22861612,-0.19630277,0.342879782,87.32904661,25.60238984
20010,20010,0.16119543,2636.5,1728.5,1930.5,1764.5,1634.0,2540.0,-0.053437935,2.122544946,1,-5.386859756,0.19630277,0.366983252,26.61317597,0.22861612,-0.19630277,0.342879782,87.32913644,25.60238984
20011,20011,0.15517688,2636.5,1728.5,1946.0,1804.0,1674.5,2577.0,-0.049298404,2.126106407,1,-5.689608675,0.19276656,0.361658916,26.32461925,0.22428094,-0.19276656,0.33637829,87.32922627,25.60238984
20012,20012,0.14053296,2708.5,1791.5,1919.0,1827.0,1729.0,2597.0,-0.033903622,2.158284268,1,-33.84518256,0.1920772,0.347203833,24.55811812,0.21413197,-0.1920772,0.321156974,87.3293161,25.60238984
20013,20013,0.13476521,2708.5,1791.5,1974.0,1835.0,1785.0,2620.5,-0.029328406,2.187359305,1,-5.864997813,0.19243813,0.334256123,22.51428473,0.20492892,-0.19243813,0.307354098,87.32940594,25.60238984
20014,20014,0.21541369,2311.0,1347.0,1924.5,1785.5,1557.0,2707.5,-0.090602119,2.113967164,1,-2.351118216,0.22415675,0.438467326,34.61612935,0.292152,-0.22415675,0.438170706,87.32859745,25.60247967
20015,20015,0.17763218,2432.5,1472.0,1930.5,1805.5,1625.5,2581.0,-0.070312968,2.138395896,1,-1.945779901,0.19569233,0.386854129,29.27998005,0.24741164,-0.19569233,0.371067575,87.32868728,25.60247967
20016,20016,0.16088946,2432.5,1472.0,1898.5,1771.5,1610.0,2470.0,-0.062290793,2.142971647,1,-2.038926415,0.18119618,0.36197804,26.80684482,0.22580968,-0.18119618,0.338668479,87.32877711,25.60247967
20017,20017,0.1766762,2483.5,1553.0,1883.5,1738.5,1547.0,2460.5,-0.074665446,2.111871189,1,-2.062144246,0.18730073,0.383146593,29.01868221,0.241889,-0.18730073,0.362784045,87.32886695,25.60247967
20018,20018,0.1855731,2483.5,1553.0,1890.5,1735.0,1533.5,2502.5,-0.078712702,2.089585885,1,-2.23146819,0.19590609,0.398115452,30.43165983,0.25312865,-0.19590609,0.379642011,87.32895678,25.60247967
20019,20019,0.17456342,2543.0,1606.0,1911.5,1756.0,1578.5,2503.5,-0.070699456,2.109918188,1,-1.974352592,0.19127752,0.381480934,28.66425069,0.24025655,-0.19127752,0.360336583,87.32904661,25.60247967
20020,20020,0.17456342,2543.0,1606.0,1911.5,1756.0,1578.5,2503.5,-0.070699456,2.109918188,1,-1.974352592,0.19127752,0.381480934,28.66425069,0.24025655,-0.19127752,0.360336583,87.32913644,25.60247967
20021,20021,0.15846944,2543.0,1606.0,1908.0,1788.0,1626.0,2497.0,-0.059476914,2.132458449,1,-2.35016243,0.18161137,0.36153432,26.89185974,0.22464918,-0.18161137,0.336928813,87.32922627,25.60247967
20022,20022,0.14789554,2586.0,1618.0,1884.0,1784.0,1662.0,2493.0,-0.047288207,2.18469508,1,-3.088562074,0.1827426,0.347774966,24.91812026,0.21634133,-0.1827426,0.324468349,87.3293161,25.60247967
20023,20023,0.14779384,2586.0,1618.0,1942.0,1806.5,1716.0,2569.0,-0.044789578,2.174922536,1,-2.452558377,0.18900128,0.348732616,24.39578154,0.21653925,-0.18900128,0.324765883,87.32940594,25.60247967
20024,20024,0.2976777,2354.0,1262.0,2413.0,2117.5,1796.0,3507.5,-0.131468391,2.242237003,2,-4.355781883,0.2885154,0.509066623,45.02755838,0.37293884,-0.2885154,0.559344732,87.35887068,25.602839
