Crop_Name_x,Latitude,Longitude,geometry,Name,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,Crop_Name_y,VV_0,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VH_0,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14
Ragi,12.7957124,77.7927514,POINT (77.7927514 12.7957124),Krishnagiri,0.2033242258652094,0.1882600561272217,0.1609674728940784,0.1431897555296856,0.2423081675522056,0.2665958576739246,0.2851439378020592,0.1684771874382777,0.0473973762166737,0.2741863575568435,0.2195978918602381,0.2608432519669155,0.2424171173289442,0.3662475181998676,0.2304980167474658,0.2264718521701761,0.1216488454982178,0.0078878177037686,0.3391515151515151,0.0547241204043598,0.0531945930176018,0.0393072803919334,0.0113181856863245,0.1697110024869222,0.0465747702589807,0.0945871306268986,0.1430901676483914,0.0662952646239554,0.0987883107626514,0.3029342884694861,0.0705086928525434,0.0077683615819209,0.1298257045121355,0.3758325404376784,0.3927155599603568,0.1166366366366366,0.0269108059370231,Ragi,-12.01078598,-12.64616587,-12.56675462,-9.794219609,-9.169513061,-11.10784728,-9.360743507,-7.398596089,-10.8315639,-6.812820045,-11.72707309,-11.63407162,-8.897341082,-11.81917157,-9.76313073,-17.85360405,-17.63100816,-21.90332833,-16.59996257,-16.87504276,-14.53486526,-15.03505351,-15.65267282,-16.22172276,-23.54881496,-20.11787777,-25.62172477,-14.78431451,-18.06113245,-15.17052307
Ragi,12.7235483,77.7731717,POINT (77.7731717 12.7235483),Krishnagiri,0.1711145996860282,0.1910331384015594,0.1229926317778197,0.1652733118971061,0.1803508771929824,0.214118804575083,0.1906921711693946,0.108695652173913,0.0387165577038994,0.1940440738534842,0.1332110091743119,0.177386018237082,0.1467300832342449,0.189284043051006,0.0866379310344827,0.1926584587323301,0.0980507974010632,0.0148506302883785,0.072593940082997,0.177803738317757,0.0470148408292738,0.0512693865454904,-0.0002219755826859,0.1869803644082787,0.2082868525896414,0.1534162008842913,0.1412399860675722,0.0649378482640377,0.0580885576501534,0.2408220271348763,0.1165521191294387,0.1143617021276595,0.0947998669475551,0.4749242679232581,0.2580970202965308,0.0361648444070647,0.1376315789473684,Ragi,-14.16324193,-13.74654934,-11.21012577,-9.404769646,-11.70236881,-8.935646501,-10.58223215,-8.752168271,-8.677699944,-11.29924827,-8.636626182,-14.76085444,-13.30756252,-10.58315909,-11.33895486,-19.93147256,-17.60207621,-21.13643087,-17.13312432,-18.98499506,-19.51119494,-16.43144393,-22.46821037,-16.87974606,-18.41006947,-16.36527175,-19.14238009,-19.04694636,-17.97944296,-21.06107747
Ragi,12.7553235,77.7721525,POINT (77.7721525 12.7553235),Krishnagiri,0.1344457434371346,0.1749202975557917,0.1043733921352444,0.1192163733375806,0.1816182937554969,0.226932055535078,0.1964994586791772,0.0857775318206972,0.0384168638416863,0.3287427809862283,0.2163009404388714,0.1060740943641717,0.2339955849889624,0.3690518152978498,0.2118848653667595,0.3329233292332923,0.0801879642261634,0.0056173587399493,0.0422905706191825,0.33311972658336,0.0478083481535725,0.0304853590052146,0.0023142606336286,0.1237275985663082,0.1555984269496178,0.0220758411963681,0.1705468327016784,0.0584078154229889,0.0779366065879428,0.4422841906454838,0.0434453383814481,0.0160857908847185,0.1238990017615971,0.5216359320796056,0.0200418049920078,0.1244409365956327,0.057441024291853,Ragi,-16.29315344,-12.54156333,-12.35808998,-9.256879281,-12.07990983,-8.119927634,-8.956398187,-10.0700804,-10.28307864,-10.49328668,-11.02191397,-9.961830395,-6.618157017,-8.98582432,-10.44707414,-27.23977404,-24.4803423,-20.31411075,-18.21861661,-17.32574203,-19.14943225,-17.53058513,-18.84723382,-23.86696858,-18.9187312,-21.522837,-20.78342988,-15.65230598,-14.31474336,-16.45468994
Carrot,12.7985281,77.7997954,POINT (77.7997954 12.7985281),Krishnagiri,0.1373482504165674,0.1492122335495829,0.1226193023753477,0.0619391551761873,0.173345140580031,0.2137592137592137,0.0393391748813435,0.0892697199498417,0.0490057589916331,0.2140151515151515,0.1641399962567845,0.1839211224876754,0.1553333333333333,0.1183229187663777,0.1483870967741935,0.0597082268010227,0.1583074661003104,0.0087257617728531,0.1933117215492237,0.2154804854050508,0.0522869332275027,0.0392221853938791,0.0149532710280373,0.28,0.3003641939812153,0.1781317885590152,0.314708299096138,0.0716972781588847,0.0694394645631648,0.241531123884065,0.0738150738150738,0.0026872690628149,0.1003388831589804,0.2908794028458129,0.3056092843326886,0.3369622475856014,0.03957632577113,Carrot,-11.16852536,-10.38199662,-7.858652285,-6.408516851,-13.39600277,-5.648181409,-6.002808222,-6.226557245,-7.843167626,-6.791459127,-10.42523908,-7.157323219,-5.099352037,-10.48367885,-6.811512981,-17.38260105,-23.16062835,-16.21059428,-16.06882686,-18.33343133,-17.94943551,-22.01319073,-19.54821023,-16.26095563,-18.58196812,-15.64461984,-18.98975767,-12.91128286,-19.91640974,-14.65290129
Flower,12.7570113,77.7807315,POINT (77.7807315 12.7570113),Krishnagiri,0.2544559497538618,0.3268608414239482,0.1714984282221446,0.137236084452975,0.2488599348534202,0.3198883028234564,0.0304199981619336,0.066745984533016,0.0357876712328767,0.4529943695615083,0.2097768331562167,0.4020948501600233,0.3338096088587248,0.4357366771159874,0.3006907137375287,0.1500088136788295,0.093856128434702,0.0061293984108967,0.0180878552971576,0.4045056679581001,0.0396215257244234,0.0251610305958132,0.0065075921908893,0.1583100443859937,0.2161910669975186,0.0922422823340932,0.1398817900365888,0.0591210875750869,0.0725754656390494,0.4753178140993891,0.0382765111901275,0.0311885841237289,0.1109961190168176,0.1581895916261241,0.188180072541071,0.1714235685519173,0.0560067681895093,Flower,-10.91877255,-8.794224922,-10.8115773,-10.63585652,-6.073156338,-8.153516804,-7.845133732,-7.341217602,-11.03702561,-11.15450856,-8.659300643,-8.069068801,-11.13462887,-9.546174353,-8.597775085,-14.97767195,-16.15875278,-15.77799405,-15.48942241,-15.46867011,-16.20079698,-19.99042032,-14.10890643,-16.04894213,-16.89242893,-15.19592886,-14.03740598,-15.49477624,-14.27275851,-16.54390398
Flower,12.7570405,77.7806883,POINT (77.7806883 12.7570405),Krishnagiri,0.2215909090909091,0.2530195106844224,0.1550351288056206,0.1160825254784986,0.2205128205128205,0.2719542109566639,0.0331002331002331,0.063950734249171,0.0377536169848471,0.3641188959660297,0.2158365261813537,0.3276131045241809,0.322289156626506,0.3443823472730776,0.3973738769868694,0.2091353996737357,0.0910491449699584,0.0067740478699382,0.0161488646610377,0.3438485804416404,0.0377918480411555,0.0194974874371859,0.0102611162092266,0.1610058785107772,0.1919597989949748,0.0955430006277463,0.1324048282265552,0.0613322073260846,0.0698994067578024,0.407942238267148,0.0441207075962539,0.0333562585969738,0.1064378789833569,0.1517509727626459,0.1888374145157732,0.1557048079285772,0.0578484438430311,Flower,-10.91877255,-9.22818305,-10.8115773,-8.614005994,-6.073156338,-8.943266709,-6.40235508,-5.990262668,-9.880210007,-10.18776216,-6.458152917,-8.069068801,-11.0636178,-7.100573759,-8.18143611,-14.97767195,-19.74451039,-15.77799405,-16.65410013,-15.46867011,-18.01648184,-17.75235952,-15.51811611,-16.02519574,-13.75633664,-13.02420932,-14.03740598,-14.82511631,-13.50202021,-16.16585077
Ragi,12.7229231,77.7644989,POINT (77.7644989 12.7229231),Krishnagiri,0.2068302068302068,0.2129653076728285,0.1182588597842835,0.2384163856625452,0.2172361040285568,0.2727272727272727,0.0156197514276116,0.0841738819958939,0.0406458008780626,0.02831738668213,0.3557755775577558,0.3714146815751094,0.325880514484914,0.5141993957703928,0.1446475195822454,0.1547449415787973,0.0890275452746918,0.0134737766074171,0.0190696561078752,0.1296954314720812,0.0440528634361233,0.0375834911773502,-0.0036987720076934,0.1706810631229235,0.2719013627514601,0.2033864934042134,0.1501542680836476,0.0629251700680272,0.0495645629502204,0.3932610744580584,0.1527232308262319,0.1880100678819312,0.2542270531400966,0.4928065278076015,0.2105206424490676,0.0552697264530589,0.1129167164535786,Ragi,-11.60392495,-12.21569308,-11.20822957,-10.0466358,-14.47548269,-9.715681173,-9.68100695,-10.1119769,-11.44733328,-6.641902721,-12.3417105,-11.67719434,-7.670883203,-9.461869555,-7.774747042,-25.08114888,-26.28992732,-18.88223076,-13.09176254,-17.0737758,-16.16882821,-18.69478558,-18.91383413,-16.38944593,-18.36043444,-19.80989622,-22.5568622,-17.7456036,-19.23814778,-18.32893943
Redgram,12.8015957,77.8024632,POINT (77.8024632 12.8015957),Krishnagiri,0.3272385049744555,0.3744708146247594,0.2706452323276811,0.0140018816757983,0.3662131519274376,0.4183673469387755,0.0782080485952923,0.1737880820080475,0.0546697038724373,0.0385940730530668,0.2566844919786096,0.2060085836909871,0.3160951327433628,0.3238810119544064,0.1152073732718894,0.075024485798237,0.2511067641305466,0.0024064171122994,0.3368948247078464,0.0957209992579767,0.044565565886502,0.0398893734709073,0.0114300228600457,0.2364813404417365,0.2883765276935078,0.0931361890265999,0.3305908750934929,0.072595797984399,0.1037940379403794,0.6155675134526342,0.0475244245736049,0.0148570402621302,0.1494796594134342,0.5740293924106163,0.5323609845031905,0.5591909577632361,0.0281153375997699,Redgram,-9.291207198,-8.921091159,-10.74864362,-6.362077126,-9.394202303,-10.38251639,-9.43712337,-7.439630407,-10.00131223,-6.661543542,-9.345645341,-6.887786151,-9.593101602,-7.343995498,-7.192173322,-15.0928307,-14.84420776,-17.85180961,-14.48203671,-16.1435099,-13.94083559,-17.8109847,-16.57711846,-14.75016183,-15.19864705,-16.03977573,-18.04656929,-13.08733362,-17.00900457,-16.33482441
Rose,12.7983442,77.8003913,POINT (77.8003913 12.7983442),Krishnagiri,0.1359700444652469,0.1508532423208191,0.1263113722198909,0.0839557530490687,0.193411974182061,0.3182770663562281,0.0477098409671967,0.0838140481845945,0.0499128505783552,0.2042036600833484,0.1622669374192357,0.1998210891199821,0.1145425213182761,0.1741548994437312,0.1723565424924769,0.1858804865150713,0.1386086032926181,0.0103149878850813,0.1505850757721082,0.1850172969104139,0.0582121620946384,0.0402311624805512,0.0081148031092508,0.1755038153003326,0.2160546541417591,0.0999353169469599,0.1702322179557505,0.0714485224289145,0.0780413159908186,0.6927710843373494,0.0683890577507598,0.0051572975760701,0.132485781197725,0.2161042036708111,0.2763460066343455,0.3093306288032454,0.0381035485747527,Rose,-9.76834172,-9.197690629,-8.339732005,-5.936176593,-8.730830496,-3.076406978,-11.16149841,-5.165903513,-10.46440753,-13.84541791,-7.64895967,-10.78291758,-11.03015967,-11.8315037,-11.67487638,-18.68635511,-22.54524529,-15.40580387,-16.54760859,-22.96385305,-17.13762108,-20.35791149,-20.1167745,-18.63593082,-19.10977408,-18.60353521,-20.02679163,-18.21268255,-16.82021377,-19.45921546
Rose,12.7982609,77.8004994,POINT (77.8004994 12.7982609),Krishnagiri,0.134447493140434,0.151797258856995,0.1288947195801902,0.0659807649295459,0.1408079316527792,0.177415944174244,0.0540968048086048,0.0892529789184234,0.0375640891493146,0.1216854340719215,0.166865315852205,0.1879123217705894,0.1318529670053945,0.1319304314403766,0.188267847260653,0.1746283898785884,0.1518695729222045,0.0080083203328133,0.1470249520153551,0.2014669926650366,0.0544292419854189,0.0347426165013575,0.0077899720249623,0.1842105263157894,0.2139153704632881,0.1156528791565287,0.1736047991274313,0.0694305137635127,0.0682261208576998,0.2138351983723296,0.069185537345177,0.020911159775001,0.1375112345779884,0.239638975870326,0.2679006332196785,0.3177460837035305,0.0348591805545447,Rose,-9.649679631,-9.56999308,-6.252732744,-8.034085172,-14.67680437,-5.290773589,-14.50818632,-7.13717509,-10.33485734,-8.706299531,-10.48054843,-10.63458758,-7.500851329,-9.031373091,-4.91647398,-15.6624537,-19.94097252,-14.92022035,-15.30634379,-20.09080433,-15.2626383,-17.31238449,-17.00015649,-17.71352146,-20.12850594,-15.47029468,-21.07460178,-20.80810334,-15.72950882,-15.52119541
