Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
Malabar Neem,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.425527602,0.444088072,0.39888227,0.70558691,0.630535543,0.360427946,0.090266265,0.339014918,0.708598197,0.227332622,0.233023703,0.011705387,-10.08026297,-8.814454519,-9.946726272,-10.45618466,-7.7907067,-8.52578068,-7.577828014,-9.30974353,-9.515594696,-11.21183246,-6.896380686,-7.949971215,-10.47112053,-11.7045937,-7.429614438,-16.06616142,-20.07810497,-16.61084506,-13.89534247,-18.01131536,-12.91822729,-14.23280811,-14.50574977,-14.61619759,-15.70701218,-14.80879098,-15.10353169,-14.22641941,-14.63486601,-14.76874884
Acacia,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.492632627,0.51587081,0.482125163,0.716982245,0.67675662,0.381329328,0.081177697,0.447218627,0.753864825,0.233041346,0.249103412,0.013559588,-10.65418504,-6.946072575,-7.263992087,-6.665199096,-4.508123918,-8.673850944,-6.543736881,-12.00507441,-7.802604531,-5.193013926,-6.456592009,-9.895341908,-5.1507378,-5.241635784,-8.874938685,-15.47604254,-12.17526752,-13.69813318,-12.40999054,-14.21041422,-15.59488656,-16.08779308,-11.47774998,-14.14680702,-12.50318489,-12.82708338,-16.4247797,-11.20754499,-13.08224132,-13.71809481
Mangoes,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.408961207,0.420943558,0.688281417,0.584022045,0.322653055,0.288477659,0.120580181,0.324595273,0.56121999,0.204791993,0.208904445,0.02167988,-2.761252296,-6.603988304,-3.254047873,1.276532067,-4.10817775,0.178161161,-6.119717376,-3.51207247,-1.532510329,0.797621871,-2.475561598,-0.036395282,0.988345577,-1.722574343,-2.046087776,-15.22896094,-13.75770083,-14.58377376,-15.26377792,-16.70639063,-12.30351952,-16.44879338,-11.58409115,-13.34237713,-14.02882569,-12.31986325,-10.74677291,-15.48054145,-13.17174216,-13.4795091
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.473540217,0.444214314,0.643673718,0.593580842,0.433105171,0.314503014,0.152871281,0.30152303,0.448625833,0.207526624,0.211831987,0.028370552,-8.22218213,-7.621118402,-4.146853094,-6.507714416,-7.836483772,-4.738366115,-9.119152288,-9.363376294,-6.463911341,-5.899724598,-5.789772806,-5.926686919,-3.420785183,-4.935200346,-6.004903106,-17.44137615,-14.82434828,-16.00906034,-18.16520436,-16.51474362,-16.76864537,-13.76086278,-15.63365401,-16.29841178,-16.24100961,-21.07105403,-16.13862422,-17.9376448,-13.53734845,-14.74098266
Malabar Neem,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.324231327,0.357006282,0.381282985,0.574475408,0.514623225,0.323985875,0.109847389,0.333177477,0.592208385,0.220536128,0.221621543,0.012621478,-9.596994003,-7.258248168,-7.251677954,-5.930104058,-12.24660646,-6.394993638,-8.394043216,-6.032467746,-9.138414639,-9.187365452,-7.96925338,-8.480634776,-6.242101408,-6.726025307,-5.728363278,-15.3245086,-13.05748919,-12.82122843,-11.07114968,-12.65180514,-12.9916761,-13.50216226,-14.83325355,-14.75380045,-16.52731533,-16.43835637,-14.98322862,-12.34043795,-12.81803195,-10.34285485
Arecanut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.473540217,0.444214314,0.643673718,0.593580842,0.433105171,0.314503014,0.152871281,0.30152303,0.448625833,0.207526624,0.211831987,0.028370552,-7.270468095,-14.11961535,-9.917812826,-8.286594057,-7.966342464,-6.949999481,-9.8318789,-9.991459497,-6.878010691,-7.949114761,-9.100572594,-7.816723485,-6.601946748,-7.637627738,-8.203420858,-20.58132954,-15.84550565,-13.13606052,-12.87563952,-12.91937326,-16.45205674,-17.80121796,-19.14189674,-14.96744003,-17.7825938,-17.55433902,-14.13072179,-13.58259428,-13.8968193,-15.07814163
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.473540217,0.444214314,0.643673718,0.593580842,0.433105171,0.314503014,0.152871281,0.30152303,0.448625833,0.207526624,0.211831987,0.028370552,-7.257882284,-8.835245465,-10.69706814,-6.607845223,-6.435139736,-5.571665532,-10.35711799,-9.512700268,-5.877770312,-6.505992596,-8.696449787,-8.005931343,-5.563153404,-8.673512865,-6.03606581,-20.18598127,-13.25880535,-15.24338938,-16.80461192,-16.66709442,-18.98439254,-17.82222244,-14.8553307,-16.89935231,-16.29115631,-23.90072725,-16.12185565,-15.645154,-12.35618772,-20.27610935
Arecanut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.473540217,0.444214314,0.643673718,0.593580842,0.433105171,0.314503014,0.152871281,0.30152303,0.448625833,0.207526624,0.211831987,0.028370552,-6.257730111,-8.835245465,-9.18029708,-5.034805846,-7.93620247,-5.571665532,-10.35711799,-9.512700268,-3.619096272,-6.505992596,-8.696449787,-6.141878846,-4.604717484,-7.691693477,-6.03606581,-19.64498574,-13.25880535,-16.08217075,-13.26827705,-17.62611165,-18.98439254,-17.82222244,-14.8553307,-16.83463295,-16.29115631,-23.90072725,-13.83032638,-14.19821198,-12.35697046,-20.27610935
Arecanut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.427102,0.451522052,0.673645556,0.616965055,0.489791721,0.36778301,0.13152352,0.337291241,0.422256559,0.217354804,0.20823732,0.021494864,-9.636414035,-11.01108571,-10.09516381,-8.738352983,-13.27984711,-7.395815036,-12.08829832,-7.763125462,-9.590419188,-7.884205392,-9.223125773,-6.2715979,-12.71464174,-8.551560464,-7.596485245,-15.99736764,-13.87492639,-15.09604082,-14.44401278,-20.83998706,-17.23048156,-15.87986775,-18.52037206,-22.51862767,-18.28231252,-16.15331112,-17.63039216,-18.77239185,-18.75022517,-17.32287272
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.427102,0.451522052,0.673645556,0.616965055,0.489791721,0.36778301,0.13152352,0.337291241,0.422256559,0.217354804,0.20823732,0.021494864,-8.406473046,-12.07702164,-7.347170406,-7.933412936,-9.703740291,-4.753733839,-7.776454355,-10.78908545,-7.882711145,-10.88257446,-10.0303079,-6.900956502,-8.167017574,-4.695079593,-5.74767775,-13.91854912,-17.87208786,-12.83287603,-14.32216276,-17.83174099,-17.47825393,-16.75080495,-15.20107222,-19.13418175,-13.61185555,-15.89267566,-14.16615483,-19.42949486,-11.39575564,-17.40127362
