Latitude,Longitude,Date,NDVI
12.65918,77.6903402,2021-04-03,0.27593818984547464
12.65918,77.6903402,2021-04-18,0.22357939458311205
12.65918,77.6903402,2021-04-28,0.29315813321250567
12.65918,77.6903402,2021-05-18,0.06343549536707056
12.65918,77.6903402,2021-05-28,0.40611353711790393
12.65918,77.6903402,2021-06-02,0.29768102224325604
12.65918,77.6903402,2021-06-07,0.3753726209584958
12.661055,77.70231,2021-04-03,0.44618599791013586
12.661055,77.70231,2021-04-18,0.023758099352051837
12.661055,77.70231,2021-04-28,0.3133570340274251
12.661055,77.70231,2021-05-18,0.06734867860187553
12.661055,77.70231,2021-05-28,0.2569778633301251
12.661055,77.70231,2021-06-02,0.22614107883817428
12.661055,77.70231,2021-06-07,0.23218862121988723
12.6614267,77.7030067,2021-04-03,0.22513562386980107
12.6614267,77.7030067,2021-04-18,0.058692628650904036
12.6614267,77.7030067,2021-04-28,0.271244635193133
12.6614267,77.7030067,2021-05-18,0.3061076978677268
12.6614267,77.7030067,2021-05-28,0.3761232349165597
12.6614267,77.7030067,2021-06-02,0.31807566557683326
12.6614267,77.7030067,2021-06-07,0.3711151736745887
