Crop_Name,Latitude,Longitude,geometry,Name,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37
Rose,13.0468322,77.7681431,POINT (77.7681431 13.0468322),Bangalore Rural,0.2131998516870596,0.2430117759010348,0.0750373692077727,0.1437235655574176,0.231185706551164,0.2585476123198644,0.1508571428571428,-0.0132051322074111,0.3581167696072719,0.5488344291691573,0.2419018753551809,0.3352975839717148,0.2715273412947832,0.1024319323288395,0.2315500105730598,0.016658798138531,0.2360742705570291,-0.0090890453085491,0.2289400455350367,0.0861122271327173,0.0182393448725107,-0.0113860810967816,0.0116156282998944,0.1440526001195457,0.3817869046339103,0.4262917193733579,0.0129846544992281,0.0711072158924919,0.08849137248694,0.0837301126466148,0.294550551953741,-0.0055119425421747,0.3966632618318012,0.0252777330542585,0.4833190761334474,0.3548970821081203,0.0238540342481118
Rose,13.0362576,77.7764711,POINT (77.7764711 13.0362576),Bangalore Rural,0.2606763762034065,0.2166334661354581,0.0603778945872993,0.2417104962268465,0.2744288466831819,0.2296450939457202,0.226241569589209,0.2507869884575026,0.2874000761324705,0.291354732847913,0.1822033898305084,0.2316715542521994,0.257017442532055,0.2821807168096921,0.1074640287769784,0.0279569892473118,0.1980787704130643,-0.0006195019204559,0.2484113229347198,0.0170888862208348,0.020901068276823,0.0374465659732117,0.0096642565681151,0.2022207986333546,0.2767133382461311,0.2733805564110461,0.1674316503691877,0.0757888528457682,0.0628673651929465,0.0909929650559335,0.3176201372997712,0.0505798827005335,0.1656707597347166,0.2937259025587101,0.2533333333333333,0.3745401030169242,0.0397496617050067
Rose,13.0363056,77.7764401,POINT (77.7764401 13.0363056),Bangalore Rural,0.2196098049024512,0.2244084682440846,0.0565340909090909,0.2499406598623308,0.2444569183272523,0.2404154378766508,0.219571865443425,0.2674772036474164,0.2487522983976884,0.2846512550848298,0.1737629459148446,0.2119932432432432,0.2297582727059375,0.3018144646051622,0.1335240820219361,0.0283560352951255,0.192174913693901,0.0016665637923584,0.2569872438010606,0.0162677928984827,0.0241545893719806,0.0441141778721396,0.0081044251595782,0.2068157614483493,0.2611747321758404,0.291096611239739,0.1602370801705313,0.0754183360829601,0.0658255273051679,0.0914114667280681,0.3067599067599068,0.0390400834710025,0.1477405153437783,0.3019370890350097,0.2539208364451082,0.3993925588458618,0.0388776200135226
Rose,13.0363599,77.7766603,POINT (77.7766603 13.0363599),Bangalore Rural,0.3616822429906542,0.3363474122546103,0.0730176839703365,0.3676893576222435,0.3835897435897435,0.3478939157566302,0.2408844633182018,0.3969798317624404,0.3428072799800548,0.2993197278911564,0.1673344781530242,0.2519462137296532,0.2075557578516158,0.2621335304262133,0.1206406613278222,0.0254033642293168,0.2053253328333021,0.0032962248896075,0.2882273342354533,0.0038251810857003,0.0263133598005724,0.0449826989619377,0.0047284711276687,0.1872743682310469,0.2965104685942173,0.2464788732394366,0.1418277104487389,0.0654227680680207,0.0716923468738061,0.0925989672977624,0.3641742872512103,0.0282140505971974,0.1964142360181964,0.4006634721710284,0.3282548476454293,0.5078228586581809,0.0399932925295547
Rose,13.035224,77.7772526,POINT (77.7772526 13.035224),Bangalore Rural,0.1646646646646646,0.2201559688062387,0.0635986851507789,0.2679592690751848,0.208650624428876,0.2650051614806076,0.1872024376309274,0.0558426824656498,0.2083553675304072,0.3717830275834763,0.1744062045564711,0.2619647355163728,0.2663407568350534,0.4387608069164265,0.2340836012861736,0.0255731922398589,0.1802618328298086,0.0058354174109801,0.2587228439763002,0.0060512024825446,0.0229345122962144,0.0458185053380782,0.0127939389607604,0.2248991072520484,0.2528041415012942,0.4468290330359296,0.060196234420578,0.0754365541327124,0.0733824302998421,0.0865296803652968,0.321340964840556,0.1304038427326098,0.4088787367166551,0.4273674872477268,0.2804107424960506,0.3638095238095238,0.0372580782675419
Rose,13.0324962,77.7772614,POINT (77.7772614 13.0324962),Bangalore Rural,0.3244929797191888,0.3338401114911947,0.0727196300966792,0.3472361809045226,0.3167735771802921,0.3467787114845938,0.3378488214575996,0.0068797159343098,0.2295223314364545,0.5321842176137894,0.2169757216593385,0.1378771684617282,0.5382157123834886,0.6453058752271351,0.3497975708502024,0.0277406118990277,0.2888888888888888,0.0042903525046382,0.1812136325852036,0.0391037835552737,0.0275557227499294,0.1074848280512474,0.0128287823407152,0.2454710144927536,0.5463192721257237,0.5929507844401462,0.1329996424740793,0.0645307884571688,0.0597480016257959,0.0959627864239361,0.4129882135428703,0.5558007566204287,0.2111515919531126,0.3888198757763975,0.3056234718826406,0.6626290706910246,0.0338420703384207
Beans,13.0639188,77.7617402,POINT (77.7617402 13.0639188),Bangalore Rural,0.3458985930448633,0.2706131078224101,0.0857618651124063,0.0853542104258163,0.3044203502919099,0.3284171714511456,0.3824527387300048,0.3173791821561338,0.2934645470603078,0.4023354564755839,0.1970594241372268,0.3697388301316641,0.2182163187855787,0.4364932664378135,0.0755224498241258,0.028009084027252,0.1872719902715849,0.0091441969519343,0.0644374782305816,0.1321052631578947,0.0270319303338171,0.0037253858435337,0.0164650799843932,0.1621044457386915,0.2627031475005143,0.0468535939355192,0.2622920855419484,0.0962886062808201,0.0802850356294536,0.0889616935483871,0.2734257558042425,0.3105874076679564,0.1540051679586563,0.47010550996483,0.3735663571818678,0.0734091150536492,0.0219968387776606
Ragi,13.0546875,77.7663485,POINT (77.7663485 13.0546875),Bangalore Rural,0.2293853073463268,0.2043219881145327,0.0661070304302203,0.0401245877610846,0.2270763322131541,0.2165805720045357,0.2764270061567359,0.1366279069767441,0.2211767373313683,0.2627485834907233,0.1770651117589893,0.3760794044665012,0.3406593406593406,0.2941033729677262,0.1796439489300485,0.0642285023424512,0.2122992557775166,0.002876200966893,0.1957238712612305,0.1501980298568092,0.0269973460236112,-0.0193483646398444,0.0122271397494561,0.1750517724448775,0.2740301457870027,0.1474696889826041,0.0290637129603332,0.0884117882384318,0.1027574971338924,0.088133808994678,0.0670253563047335,-0.0079186248631944,0.0636913063691306,0.0247817955112219,0.4387699066447007,0.6340956340956341,0.0294483010595542
Papaya,13.0318381,77.7768498,POINT (77.7768498 13.0318381),Bangalore Rural,0.3283433133732535,0.4199530516431924,0.070090215128383,0.3621648338069937,0.2220642593119135,0.2886597938144329,0.276688955499193,0.0266219166476587,0.1774220724515585,0.4035008976660682,0.1861912846632711,0.1333518930957683,0.1809880074815711,0.2045914922349763,0.1545211751239984,0.0217159131363474,0.274779010720331,0.0028985507246376,0.2536231884057971,0.0198019801980198,0.0195930670685757,0.0597877200053741,0.0053077033424185,0.2223538279315171,0.3226361031518625,0.6366808840635906,0.1409252669039146,0.0651152383083463,0.0588083236396536,0.0921173235563703,0.3830128205128205,0.5465315666406859,0.1707787732598208,0.3660748016622591,0.2538293216630197,0.5148567198900286,0.0315912311411186
Papaya,13.0318319,77.7768649,POINT (77.7768649 13.0318319),Bangalore Rural,0.4083375188347564,0.4671796665500758,0.0729398663697104,0.327482567924982,0.25890603085554,0.3252156265854896,0.3320666145076562,0.021027817067421,0.1979114030655213,0.4317360382418095,0.1892607298166005,0.1295491580662683,0.2544836478724651,0.2388183651678728,0.179252479023646,0.0225497159090909,0.2806219188471748,0.0034177141864102,0.3454545454545454,0.0233684210526315,0.0226974301256799,0.0559284116331096,0.005678142744196,0.260855006139078,0.4148471615720524,0.6516053479067044,0.1621720116618075,0.0652659812248547,0.0585016286644951,0.0973776324094795,0.4468253968253968,0.4859471145850657,0.1302257245892881,0.3289269051321928,0.2564102564102564,0.5678932644717022,0.032397050294142
